,,subsidiary,entityId,isperson,salutation,firstname,middlename,lastname,title,,companyname,Rep,email,phone,altphone,fax,Address1_AddressName,Address1_attention,Address1_Addressee,Address1_phone,Address1_line1,Address1_line2,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,taxable
1,4,,WIM229535,,,,,,,,American Biltrite,Thomas Harbin,Lowery@abitape.com,(856) 778-0700,(856) 586-3260,(856) 778-7485,Mailing,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,FALSE,FALSE,net 45,TRUE
2,4,,WIM229535,,,,,,,,,,,,,,Billing,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,TRUE,FALSE,,
3,4,,WIM229535,,,,,,,,,,,,,,Shipping,,American Biltrite,,105 Whittendale Drive,,Moorestown,NJ,08057,United States,FALSE,TRUE,,
1,5,,TDW838321,,,,,,,,Apogee Designs Ltd.,Thomas Harbin,,(410) 633-6336,,(410) 633-3666,Mailing,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224-0000,United States,FALSE,FALSE,Net 30,FALSE
2,5,,TDW838321,,,,,,,,,,,,,,Billing,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224-0000,United States,TRUE,FALSE,,
3,5,,TDW838321,,,,,,,,,,,,,,Shipping,,Apogee Designs Ltd.,,101 South Kane Street,,Baltimore,MD,21224,United States,FALSE,TRUE,,
1,6,,WGQ484129,,,,,,,,Arnold Packaging,Thomas Harbin,ap@arnoldpackaging.com,(410) 646-3200,,(410) 646-0905,Mailing,,Arnold Packaging,,3101 Washington Blvd.,,Baltimore,MD,21230-1093,United States,FALSE,FALSE,Net 30,FALSE
2,6,,WGQ484129,,,,,,,,,,,,,,Billing,,Arnold Packaging,,1900 Finishing Mill Road,Suite 100,Sparrows Point,MD,21219,United States,TRUE,FALSE,,
3,6,,WGQ484129,,,,,,,,,,,,,,Shipping,,Arnold Packaging,,3101 Washington Blvd.,,Baltimore,MD,21230-1093,United States,FALSE,TRUE,,
1,7,,WFW133635,,,,,,,Atlas,Atlas Container Corporation,Thomas Harbin,atlasapsevern@atlascontainer.com,(410) 551-6300,,(410) 551-2703,Mailing,,Atlas Container Corporation,,8140 Telegraph Road,,Severn,MD,21144,United States,FALSE,FALSE,Net 30,TRUE
2,7,,WFW133635,,,,,,,,,,,,,,Billing,,Atlas Container Corporation,,8140 Telegraph Road,,Severn,MD,21144,United States,TRUE,FALSE,,
3,7,,WFW133635,,,,,,,,,,,,,,Shipping,,Atlas Container Corporation,,"8870 Greenwood Place, Suite C",,Savage,MD,20763,United States,FALSE,TRUE,,
1,8,,IAV630762,,,,,,,,Fifield Fabrics,,,(800) 878-7496,(781) 335-7060,(781) 335-7709,Mailing,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,FALSE,FALSE,Net 30,TRUE
2,8,,IAV630762,,,,,,,,,,,,,,Billing,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,TRUE,FALSE,,
3,8,,IAV630762,,,,,,,,,,,,,,Shipping,,Fifield Fabrics,,72 Sharp Street,,Hingham,MA,02043-4204,United States,FALSE,TRUE,,
1,9,,IPM272994,,,,,,,,"Cantwell-Cleary Co., Inc.",Thomas Harbin,,(301) 773-9800,,(301) 773-9257,Mailing,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,FALSE,FALSE,Net 30,FALSE
2,9,,IPM272994,,,,,,,,,,,,,,Billing,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,TRUE,FALSE,,
3,9,,IPM272994,,,,,,,,,,,,,,Shipping,,"Cantwell-Cleary Co., Inc.",,7575 Washington Blvd.,,Elkridge,MD,21075-0000,United States,FALSE,TRUE,,
1,10,,IUT918098,,,,,,,,Colony Packaging & Machine,Thomas Harbin,ap@colonypackaging.com,(800) 221-9577,(717) 764-5088,(717) 764-5567,Mailing,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,FALSE,FALSE,Net 30,TRUE
2,10,,IUT918098,,,,,,,,,,,,,,Billing,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,TRUE,FALSE,,
3,10,,IUT918098,,,,,,,,,,,,,,Shipping,,Colony Packaging & Machine,,1776 Colony Road,,York,PA,17408-0000,United States,FALSE,TRUE,,
1,11,,WSV317131,,,,,,,,"Conversource, Inc.",Jake Sowers,,(800) 808-1565,(314) 427-2562,(314) 824-0012,Mailing,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,FALSE,FALSE,Net 30,TRUE
2,11,,WSV317131,,,,,,,,,,,,,,Billing,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,TRUE,FALSE,,
3,11,,WSV317131,,,,,,,,,,,,,,Shipping,,"Conversource, Inc.",,1510 Page Industrial Blvd.,,St. Louis,MO,63132,United States,FALSE,TRUE,,
1,12,,TIV508034,,,,,,,,"FLEXcon Company, Inc.",,,(508) 885-8200,,(508) 885-8355,Mailing,,"FLEXcon Company, Inc.",,P.O. Box 360813,,Pittsburgh,PA,15251-6813,United States,FALSE,FALSE,Net 30,TRUE
2,12,,TIV508034,,,,,,,,,,,,,,Billing,,"FLEXcon Company, Inc.",,P.O. Box 360813,,Pittsburgh,PA,15251-6813,United States,TRUE,FALSE,,
3,12,,TIV508034,,,,,,,,,,,,,,Shipping,,"FLEXcon Company, Inc.",,1 FLEXcon Industrial Park,,Spencer,MA,01562-2642,United States,FALSE,TRUE,,
1,13,,IIN275501,,,,,,,,Flexprint Graphics,Thomas Harbin,,(410) 355-7300,,(410) 355-7987,Mailing,,Flexprint Graphics,,1017 East Patapsco Avenue,,Baltimore,MD,21225-0000,United States,FALSE,FALSE,Net 30,FALSE
2,13,,IIN275501,,,,,,,,,,,,,,Billing,,Flexprint Graphics,,P. O. Box 9026,"6 Yorkway, Suite 104",Baltimore,MD,21222-0000,United States,TRUE,FALSE,,
3,13,,IIN275501,,,,,,,,,,,,,,Shipping,,Flexprint Graphics,,"Arcos Industries, LLC",One Arcos Way,Mt. Carmel,PA,17851,United States,FALSE,TRUE,,
1,14,,RSE021905,,,,,,,,Gaska Tape Inc.,,,(800) 423-1571,(800) 427-5214,(574) 389-8912,Mailing,,Gaska Tape Inc.,,PO Box 1968,,Elkhart,IN,46515-0000,United States,FALSE,FALSE,Net 30,TRUE
2,14,,RSE021905,,,,,,,,,,,,,,Billing,,Gaska Tape Inc.,,PO Box 1968,,Elkhart,IN,46515-0000,United States,TRUE,FALSE,,
3,14,,RSE021905,,,,,,,,,,,,,,Shipping,,Gaska Tape Inc.,,1810 W Lusher,,Elkhart,IN,46515,United States,FALSE,TRUE,,
1,15,,EIM977065,,,,,,,,General Rubber,Mark Mogar,jcalhoon@grp-usa.com,(859) 254-6436,,(859) 253-1922,Mailing,,General Rubber,,P.O. Box 12737,,Lexington,KY,40583-2737,United States,FALSE,FALSE,Net 30,TRUE
2,15,,EIM977065,,,,,,,,,,,,,,Billing,,General Rubber,,P.O. Box 12737,,Lexington,KY,40583-2737,United States,TRUE,FALSE,,
3,15,,EIM977065,,,,,,,,,,,,,,Shipping,,General Rubber,,1016 Majaun Road,,Lexington,KY,40511,United States,FALSE,TRUE,,
1,16,,QSM017537,,,,,,,,The Griff Network,Thomas Harbin,,(800) 872-7549,(215) 428-1075,(215) 428-1189,Mailing,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054-0000,United States,FALSE,FALSE,Net 30,TRUE
2,16,,QSM017537,,,,,,,,,,,,,,Billing,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054-0000,United States,TRUE,FALSE,,
3,16,,QSM017537,,,,,,,,,,,,,,Shipping,,The Griff Network,,275 Lower Morrisville Road,,Fallsington,PA,19054,United States,FALSE,TRUE,,
1,17,,UOQ075118,,,,,,,Atlantic,Atlantic Corporation-Duncan,Mark Mogar,marys@atlanticpkg.com,(864) 439-8189,,(864) 439-3463,Mailing,,Atlantic Corporation-Duncan,,790 Duncan-Reidville Road,,Duncan,SC,29334-0000,United States,FALSE,FALSE,Net 30,TRUE
2,17,,UOQ075118,,,,,,,,,,,,,,Billing,,Atlantic Corporation-Duncan,,806 N. 23rd Street,,Wilmington,NC,28405-0000,United States,TRUE,FALSE,,
3,17,,UOQ075118,,,,,,,,,,,,,,Shipping,,Atlantic Corporation-Duncan,,"744 Frontage Road, Suite 100",,Greenville ,SC,29611,United States,FALSE,TRUE,,
1,18,,WSM984583,,,,,,,,Hershey Paper Company,Thomas Harbin,,(717) 285-3151,,(717) 285-2474,Mailing,,Hershey Paper Company,,P.O. Box 4247,,Lancaster,PA,17604-4247,United States,FALSE,FALSE,Net 30,TRUE
2,18,,WSM984583,,,,,,,,,,,,,,Billing,,Hershey Paper Company,,P.O. Box 4247,,Lancaster,PA,17604-4247,United States,TRUE,FALSE,,
3,18,,WSM984583,,,,,,,,,,,,,,Shipping,,Hershey Paper Company,,3650 Hempland Road,,Lancaster,PA,17601,United States,FALSE,TRUE,,
1,19,,RDV820768,,,,,,,,"Ideal Tape Co., Inc.",Thomas Harbin,idealpayables@abitape.com,(800) 284-3325,(978) 458-6833,(978) 458-0302,Mailing,,"Ideal Tape Co., Inc.",,1400 Middlesex Street,,Lowell,MA,01851-0000,United States,FALSE,FALSE,Net 30,TRUE
2,19,,RDV820768,,,,,,,,,,,,,,Billing,,"Ideal Tape Co., Inc.",,105 Whittendale Drive,,Moorestown,NJ,08057-0000,United States,TRUE,FALSE,,
3,19,,RDV820768,,,,,,,,,,,,,,Shipping,,"Ideal Tape Co., Inc.",,33 High Street,,Billerica,MA,01821,United States,FALSE,TRUE,,
1,20,,TOT059736,,,,,,,,Jarrett Industries,Thomas Harbin,,(410) 581-0303,,(410) 363-2080,Mailing,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117-0000,United States,FALSE,FALSE,,FALSE
2,20,,TOT059736,,,,,,,,,,,,,,Billing,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117-0000,United States,TRUE,FALSE,,
3,20,,TOT059736,,,,,,,,,,,,,,Shipping,,Jarrett Industries,,11511 Cronridge Drive,,Owings Mills,MD,21117,United States,FALSE,TRUE,,
1,21,,EDV589478,,,,,,,,Maryland Plastics,Thomas Harbin,,(410) 754-5566,,(410) 754-8882,Mailing,,Maryland Plastics,,251 East Central Avenue,,Federalsburg,MD,21632-0000,United States,FALSE,FALSE,Net 30,FALSE
2,21,,EDV589478,,,,,,,,,,,,,,Billing,,Maryland Plastics,,P. O. Box 472,,Federalsburg,MD,21632-0000,United States,TRUE,FALSE,,
3,21,,EDV589478,,,,,,,,,,,,,,Shipping,,Maryland Plastics,,251 East Central Avenue,,Federalsburg,MD,21632,United States,FALSE,TRUE,,
1,22,,QSM124897,,,,,,,,"McCormick & Co., Inc.",Thomas Harbin,AP@mccormick.com,(410) 771-7778,,(410) 771-7433,Mailing,,"McCormick & Co., Inc.",,McCormick/Schilling Division,PO Box 6500 ,Sparks,MD,21152-0000,United States,FALSE,FALSE,Net 30,FALSE
2,22,,QSM124897,,,,,,,,,,,,,,Billing,,"McCormick & Co., Inc.",,McCormick/Schilling Division,PO Box 168 ,Cockeysville,MD,21030-0000,United States,TRUE,FALSE,,
3,22,,QSM124897,,,,,,,,,,,,,,Shipping,,"McCormick & Co., Inc.",,11100 McCormick Road,,Hunt Valley,MD,21031,United States,FALSE,TRUE,,
1,23,,USR856608,,,,,,,,Morrisette Paper Co.,Mark Mogar,psetliff@morrisette.com,(919) 250-3223,,(919) 250-3255,Mailing,,,,3081 Business Park Drive,,Raleigh,NC,27610-0000,United States,FALSE,FALSE,Net 30,TRUE
2,23,,USR856608,,,,,,,,,,,,,,Billing,,,,PO Box 20768,,Greensboro,NC,27420-0000,United States,TRUE,FALSE,,
3,23,,USR856608,,,,,,,,,,,,,,Shipping,,,,5925 Summit Avenue,,Browns Summit,NC,27214,United States,FALSE,TRUE,,
1,24,,QOE094704,,,,,,,,"Shannon Baum Signs, Inc.",Thomas Harbin,,(410) 781-4000,,(410) 781-4673,Mailing,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,FALSE,FALSE,Net 30,FALSE
2,24,,QOE094704,,,,,,,,,,,,,,Billing,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,TRUE,FALSE,,
3,24,,QOE094704,,,,,,,,,,,,,,Shipping,,"Shannon Baum Signs, Inc.",,105 Competitive Goals Drive,,Eldersburg,MD,21784,United States,FALSE,TRUE,,
1,25,,UIM106892,,,,,,,,Shippers Supply Company,Jake Sowers,ap@ssco.pro,(502) 634-2800,,(502) 635-7935,Mailing,,Shippers Supply Company,,1735 W. Burnett,,Louisville,KY,40210-1814,United States,FALSE,FALSE,Net 30,TRUE
2,25,,UIM106892,,,,,,,,,,,,,,Billing,,Shippers Supply Company,,4500 Progress Blvd,,Louisville,KY,40218-1814,United States,TRUE,FALSE,,
3,25,,UIM106892,,,,,,,,,,,,,,Shipping,,Shippers Supply Company,,4500 Progress Blvd,,Louisville,KY,40218-1814,United States,FALSE,TRUE,,
1,26,,IAN256034,,,,,,,,Static Control Components,Mark Mogar,,(919) 774-3808,,(919) 776-9507,Mailing,,Static Control Components,,P. O. Box 152,,Sanford,NC,27331-0000,United States,FALSE,FALSE,Net 30,TRUE
2,26,,IAN256034,,,,,,,,,,,,,,Billing,,Static Control Components,,P. O. Box 152,Attn: Accts. Payable,Sanford,NC,27331-0000,United States,TRUE,FALSE,,
3,26,,IAN256034,,,,,,,,,,,,,,Shipping,,Static Control Components,,2980 Lee  Avenue,Plant 18,Sanford,NC,27330,United States,FALSE,TRUE,,
1,27,,QPV058282,,,,,,,,Tesa Tape,Mark Mogar,Invoice0078@GSP-001.Tesa.com,(800) 426-2181,,(704) 553-5632,Mailing,,Tesa Tape,,5825 Carnegie Blvd.,,Charlotte,NC,28209-0000,United States,FALSE,FALSE,Net 30,TRUE
2,27,,QPV058282,,,,,,,,,,,,,,Billing,,Tesa Tape,,5825 Carnegie Blvd.,,Charlotte,NC,28209-0000,United States,TRUE,FALSE,,
3,27,,QPV058282,,,,,,,,,,,,,,Shipping,,Tesa Tape,,"2945 Walkent Ct., NW",,Grand Rapids,MI,49544,United States,FALSE,TRUE,,
1,28,,QAB825606,,,,,,,,"Textape, Inc.",Matthew Kay,herika@textape.com,(915) 595-1525,,(915) 595-1646,Mailing,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907-0000,United States,FALSE,FALSE,Net 30,TRUE
2,28,,QAB825606,,,,,,,,,,,,,,Billing,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907-0000,United States,TRUE,FALSE,,
3,28,,QAB825606,,,,,,,,,,,,,,Shipping,,"Textape, Inc.",,915 Pendale Road,,El Paso,TX,79907,United States,FALSE,TRUE,,
1,29,,RDM094552,,,,,,,,"Transcendia (Transilwrap Company, Inc.)",,,(972) 484-3211,(800) 659-4254,(972) 484-3171,Mailing,,"Transcendia (Transilwrap Company, Inc.)",,Dept. 77-6082,,Chicago,IL,60678-6082,United States,FALSE,FALSE,Net 30,TRUE
2,29,,RDM094552,,,,,,,,,,,,,,Billing,,"Transcendia (Transilwrap Company, Inc.)",,Dept. 77-6082,,Chicago,IL,60678-6082,United States,TRUE,FALSE,,
3,29,,RDM094552,,,,,,,,,,,,,,Shipping,,"Transcendia (Transilwrap Company, Inc.)",,1420 Valwood Parkway,,Dallas,TX,75006,United States,FALSE,TRUE,,
1,30,,RPB504805,,,,,,,Veritiv,Veritiv - Richmond Unisource,Mark Mogar,aptradeinvoices@veritivcorp.com,(800) 552-5619,(804) 359-4491,(804) 213-4876,Mailing,,Veritiv - Richmond Unisource,,2401 Dabney Road,,Richmond,VA,23230,United States,FALSE,FALSE,Net 30,TRUE
2,30,,RPB504805,,,,,,,,,,,,,,Billing,,Veritiv - Richmond Unisource,,P.O. Box 45195,Attn: Accounts Payable,Jacksonville,FL,32232-0000,United States,TRUE,FALSE,,
3,30,,RPB504805,,,,,,,,,,,,,,Shipping,,Veritiv - Richmond Unisource,,2401 Dabney Road,,Richmond,VA,23230,United States,FALSE,TRUE,,
1,31,,QIW004276,,,,,,,,"Uticom Systems, Inc.",Thomas Harbin,Cheryl@uticom.net,(800) 548-5321,(610) 380-9430,(610) 857-2986,Mailing,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,FALSE,FALSE,Net 30,TRUE
2,31,,QIW004276,,,,,,,,,,,,,,Billing,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,TRUE,FALSE,,
3,31,,QIW004276,,,,,,,,,,,,,,Shipping,,"Uticom Systems, Inc.",,109 Independence Way,,Coatesville,PA,19320-1893,United States,FALSE,TRUE,,
1,32,,WDW572368,,,,,,,Veritiv,Veritiv - El Paso ,Mark Mogar,aptradeinvoices@veritivcorp.com,(915) 779-2240,(915) 774-7245,(915) 772-9738,Mailing,,Veritiv - El Paso ,,6839 Market Avenue,,El Paso,TX,79915,United States,FALSE,FALSE,60 Days  net,TRUE
2,32,,WDW572368,,,,,,,,,,,,,,Billing,,Veritiv - El Paso ,,PO Box 415755,Attn: NEDS A/P,Cincinnati,OH,45241-5755,United States,TRUE,FALSE,,
3,32,,WDW572368,,,,,,,,,,,,,,Shipping,,Veritiv - El Paso ,,6839 Market Avenue,,El Paso,TX,79915,United States,FALSE,TRUE,,
1,33,,YUM481722,,,,,,,Veritiv,Veritiv - Hanover,Mark Mogar,aptradeinvoices@veritivcorp.com,(410) 694-8500,,(410) 694-8636,Mailing,,Veritiv - Hanover,,7445 New Ridge Road,,Hanover,MD,21076-0000,United States,FALSE,FALSE,60 Days  net,FALSE
2,33,,YUM481722,,,,,,,,,,,,,,Billing,,Veritiv - Hanover,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-0000,United States,TRUE,FALSE,,
3,33,,YUM481722,,,,,,,,,,,,,,Shipping,,Veritiv - Hanover,,7445 New Ridge Road,,Hanover,MD,21076,United States,FALSE,TRUE,,
1,34,,WIT971548,,,,,,,Veritiv,Veritiv - Charlotte,Mark Mogar,APTradeInvoices@veritivcorp.com,(704) 596-5554,,(704) 596-6766,Mailing,,Veritiv - Charlotte,,4265 Trailer Drive,,Charlotte,NC,28269,United States,FALSE,FALSE,60 Days  net,TRUE
2,34,,WIT971548,,,,,,,,,,,,,,Billing,,Veritiv - Charlotte,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,TRUE,FALSE,,
3,34,,WIT971548,,,,,,,,,,,,,,Shipping,,Veritiv - Charlotte,,4265 Trailer Drive,,Charlotte,NC,28269,United States,FALSE,TRUE,,
1,35,,RDV853804,,,,,,,Veritiv,Veritiv - Greensboro,Mark Mogar,aptradeinvoices@veritivcorp.com,(336) 299-1211,,(336) 855-3862,Mailing,,Veritiv - Greensboro,,3 Centerview Drive,Suite 300,Greensboro,NC,27407,United States,FALSE,FALSE,60 Days  net,TRUE
2,35,,RDV853804,,,,,,,,,,,,,,Billing,,Veritiv - Greensboro,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,TRUE,FALSE,,
3,35,,RDV853804,,,,,,,,,,,,,,Shipping,,Veritiv - Greensboro,,3 Centerview Drive,Suite 300,Greensboro,NC,27407,United States,FALSE,TRUE,,
1,36,,TPB746337,,,,,,,Veritiv,Veritiv - Garner (Morrisville),Mark Mogar,APTradeinvoices@veritivcorp.com,(919) 467-8141,,(919) 467-0311,Mailing,,Veritiv - Garner (Morrisville),,1021 Morrisville Parkway,,Morrisville,NC,27560,United States,FALSE,FALSE,60 Days  net,TRUE
2,36,,TPB746337,,,,,,,,,,,,,,Billing,,Veritiv - Garner (Morrisville),,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-1337,United States,TRUE,FALSE,,
3,36,,TPB746337,,,,,,,,,,,,,,Shipping,,Veritiv - Garner (Morrisville),,1070 Waterfield Drive,,Garner,NC,27529,United States,FALSE,TRUE,,
1,37,,WUN891767,,,,,,,Veritiv,Veritiv - Richmond (Xpedx),Mark Mogar,aptradeinvoices@veritivcorp.com,(804) 496-2200,,(804) 496-2225,Mailing,,Veritiv - Richmond (Xpedx),,11800 North Lakeridge Parkway,,Ashland,VA,23005,United States,FALSE,FALSE,60 Days  net,TRUE
2,37,,WUN891767,,,,,,,,,,,,,,Billing,,Veritiv - Richmond (Xpedx),,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,TRUE,FALSE,,
3,37,,WUN891767,,,,,,,,,,,,,,Shipping,,Veritiv - Richmond (Xpedx),,11800 North Lakeridge Parkway,,Ashland,VA,23005,United States,FALSE,TRUE,,
1,38,,OPR884164,,,,,,,Veritiv,Veritiv - Roanoke,Mark Mogar,APTradeInvoices@veritivcorp.com,(540) 389-7210,,(540) 387-0976,Mailing,,Veritiv - Roanoke,,1885 Apperson Drive,,Salem,VA,24153,United States,FALSE,FALSE,60 Days  net,TRUE
2,38,,OPR884164,,,,,,,,,,,,,,Billing,,Veritiv - Roanoke,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262-0000,United States,TRUE,FALSE,,
3,38,,OPR884164,,,,,,,,,,,,,,Shipping,,Veritiv - Roanoke,,1885 Apperson Drive,,Salem,VA,24153,United States,FALSE,TRUE,,
1,39,,QFE611665,,,,,,,Veritiv,Veritiv - Winston Salem,Mark Mogar,aptradeinvoices@veritivcorp.com,(336) 768-4900,,(336) 768-4909,Mailing,,Veritiv - Winston Salem,,1400 Westgate Center Drive,Suite 110,Winston-Salem,NC,27103,United States,FALSE,FALSE,60 Days  net,TRUE
2,39,,QFE611665,,,,,,,,,,,,,,Billing,,Veritiv - Winston Salem,,"Attn: MAX A/P, P. O. Box 625799",,Cincinnati,OH,45262,United States,TRUE,FALSE,,
3,39,,QFE611665,,,,,,,,,,,,,,Shipping,,Veritiv - Winston Salem,,,,,,,,FALSE,TRUE,,
1,40,,EAN920189,,,,,,,,Weiss Brothers of Hagerstown,Thomas Harbin,,(301) 739-3069,(800) 878-9347,(301) 739-3157,Mailing,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740-0000,United States,FALSE,FALSE,Net 30,FALSE
2,40,,EAN920189,,,,,,,,,,,,,,Billing,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740-0000,United States,TRUE,FALSE,,
3,40,,EAN920189,,,,,,,,,,,,,,Shipping,,Weiss Brothers of Hagerstown,,18038 West Oak Ridge Drive,,Hagerstown,MD,21740,United States,FALSE,TRUE,,
1,41,,QSB480143,,,,,,,Veritiv,Veritiv - Jessup,Mark Mogar,aptradeinvoices@veritivcorp.com,(410) 792-8069,,(410) 792-8059,Mailing,,Veritiv - Jessup,,8261 Preston Court,,Jessup,MD,20794,United States,FALSE,FALSE,Net 30,FALSE
2,41,,QSB480143,,,,,,,,,,,,,,Billing,,Veritiv - Jessup,,PO BOX 45192,,Jacksonville,FL,32232-5048,United States,TRUE,FALSE,,
3,41,,QSB480143,,,,,,,,,,,,,,Shipping,,Veritiv - Jessup,,8261 Preston Court,,Jessup,MD,20794,United States,FALSE,TRUE,,
1,42,,TDE161602,,,,,,,,BGR Inc,Jake Sowers,BGRap@packbgr.com,(513) 755-7100,(800) 628-9195,(513) 755-7855,Mailing,,BGR Inc,,6392 Gano Road,,West Chester,OH,45069,United States,FALSE,FALSE,Net 30,TRUE
2,42,,TDE161602,,,,,,,,,,,,,,Billing,,BGR Inc,,6392 Gano Road,RR1,West Chester,OH,45069,United States,TRUE,FALSE,,
3,42,,TDE161602,,,,,,,,,,,,,,Shipping,,BGR Inc,,6392 Gano Road,,West Chester,OH,45069,United States,FALSE,TRUE,,
1,44,,QPQ892062,,,,,,,,Becton Dickinson,Thomas Harbin,,(410) 316-3731,,(410) 316-3516,Mailing,,Becton Dickinson,,54 Loveton Circle,,Sparks,MD,21152-0000,United States,FALSE,FALSE,,TRUE
2,44,,QPQ892062,,,,,,,,,,,,,,Billing,,Becton Dickinson,,54 Loveton Circle,,Sparks,MD,21152-0000,United States,TRUE,FALSE,,
3,44,,QPQ892062,,,,,,,,,,,,,,Shipping,,Becton Dickinson,,,,,,,,FALSE,TRUE,,
1,45,,IFN316196,,,,,,,,"Edvotek, Inc",Thomas Harbin,,301-251-,(800) 338-6835,(301) 340-0582,Mailing,,"Edvotek, Inc",,P.O. Box 1232,,West Bethesda,MD,20827-1232,United States,FALSE,FALSE,,FALSE
2,45,,IFN316196,,,,,,,,,,,,,,Billing,,"Edvotek, Inc",,1121 5th Street NW,,Washington,DC,20001,United States,TRUE,FALSE,,
3,45,,IFN316196,,,,,,,,,,,,,,Shipping,,"Edvotek, Inc",,1121 5th Street NW,,Washington,DC,20001,United States,FALSE,TRUE,,
1,46,,WOQ644327,,,,,,,3M,3M Canada - London Manufacturing,Matthew Kay,,(651) 216-8478,,,Mailing,,3M Canada - London Manufacturing,,,,,,,,FALSE,FALSE,Net 30,TRUE
