entityid,isperson,companyname,email,phone,address1_addressName,address1_addressee,address1_phone,address1_line1,address1_line2,address1_city,address1_state,address1_zipCode,address1_country,terms,Track 1099,Tax ID
AFCO,FALSE,AFCO,,,Bill-To,AFCO,,POB 360572,,PITTSBURGH,PA,15250-6572,United States,2,No,
AIRGAS USA,FALSE,AIRGAS USA,,,Bill-To,AIRGAS USA,,POB 734671,,DALLAS,TX,75373-4671,United States,2,No,
AIRTECH SPRAY SYS,FALSE,AIRTECH SPRAY SYS,,,Bill-To,AIRTECH SPRAY SYS,,POB 74321,,CLEVELAND,OH,44194,United States,2,No,
AIV L.P.,FALSE,AIV L.P.,,,Bill-To,AIV L.P.,,22806 NORTHWEST LAKE DRIVE,,HOUSTON,TX,77095,United States,2,No,
ALLREDI,FALSE,ALLREDI,,,Bill-To,ALLREDI,,POB 670560,,DALLAS,TX,75267-0560,United States,2,No,
ALPHA PROCESS SALES (VENDOR),FALSE,ALPHA PROCESS SALES (VENDOR),,,Bill-To,ALPHA PROCESS SALES (VENDOR),,12850 E BOURNEWOOD DRIVE,,SUGAR LAND,TX,77478,United States,2,Yes,74-1606087
"AMARK METALS, INC",FALSE,"AMARK METALS, INC",,,Bill-To,"AMARK METALS, INC",,3853 INDUSTRIAL CIRCLE,,BOSSIER CITY,LA,71112,United States,2,No,
AMAZON CAPITAL SERVICES,FALSE,AMAZON CAPITAL SERVICES,,,Bill-To,AMAZON CAPITAL SERVICES,,POB 035184,,SEATTLE,WA,98124-5184,United States,2,No,
AMERICAN PAPER & JANITORIAL SUPPLIES INC.,FALSE,AMERICAN PAPER & JANITORIAL SUPPLIES INC.,,(361) 578-0031,Bill-To,AMERICAN PAPER & JANITORIAL SUPPLIES INC.,,P.O. BOX 3966,,VICTORIA,TX,77903,United States,2,No,
ANN HARRIS BENNETT,FALSE,ANN HARRIS BENNETT,,,Bill-To,ANN HARRIS BENNETT,,"TAX ASSESSOR-COLLECTOR
P.O. BOX 4622",,HOUSTON,TX,77210,United States,2,No,
APPALACHIA MIDSTREAM SERVICES,FALSE,APPALACHIA MIDSTREAM SERVICES,,,Bill-To,APPALACHIA MIDSTREAM SERVICES,,"ONE WILLIAMS CENTER
TREASURY MD 50",,TULSA,OK,74172,United States,2,No,
APPLIED MSS,FALSE,APPLIED MSS,,,Bill-To,APPLIED MSS,,22510 NETWORK PLACE,,CHICAGO,IL,60673-1225,United States,2,No,
ARCA FLOW CONTROLS,FALSE,ARCA FLOW CONTROLS,,,Bill-To,ARCA FLOW CONTROLS,,10671 SHADOW WOOD DR,,HOUSTON,TX,77043,United States,2,No,
ARCBEST INTERNATIONAL,FALSE,ARCBEST INTERNATIONAL,,,Bill-To,ARCBEST INTERNATIONAL,,"ECS ACCTS REC
POB 10048",,FORT SMITH,AR,72917-0048,United States,2,No,
ARGON,FALSE,ARGON,,,Bill-To,ARGON,,345 W CHESTNUT AVE,,MONROVIA,CA,91016,United States,2,No,
ARK-LA-TEX PALLET SALES,FALSE,ARK-LA-TEX PALLET SALES,,,Bill-To,ARK-LA-TEX PALLET SALES,,4191 BELLEVUE ROAD,,HAUGHTON,LA,71037-8392,United States,2,No,
ARTURO VIESCA,FALSE,ARTURO VIESCA,,,Bill-To,ARTURO VIESCA,,13102 N NAVARRO STREET,,VICTORIA,TX,77904,United States,2,No,
ASC ENGINEERED SOLUTIONS,FALSE,ASC ENGINEERED SOLUTIONS,,,Bill-To,ASC ENGINEERED SOLUTIONS,,26009 NETWORK PLACE,,CHICAGO,IL,60673-1260,United States,16,No,
ASSET RECOVERY SURPLUS,FALSE,ASSET RECOVERY SURPLUS,,318-470-0996,Bill-To,ASSET RECOVERY SURPLUS,,2810 CAMP ZION ROAD,,DOYLINE,LA,71023,United States,2,Yes,85-2252959
AT&T,FALSE,AT&T,,,Bill-To,AT&T,,PO BOX 5019,,CAROL STREAM,IL,60197-5019,United States,2,No,
AT&T Mobility,FALSE,AT&T Mobility,,,Bill-To,AT&T Mobility,,P.O. BOX  6463,,CAROL STREAM,IL,60197-6463,United States,2,No,
AT&T(NEW),FALSE,AT&T(NEW),,,Bill-To,AT&T(NEW),,POB 5019,,CAROL STREAM,IL,60197-5019,United States,2,No,
ATLANTIC GROUP INC - AGI,FALSE,ATLANTIC GROUP INC - AGI,,(281) 578-0366,Bill-To,ATLANTIC GROUP INC - AGI,,26077 NELSON WAY STE. 1503,,KATY,TX,77494,United States,2,No,
AUTOMATION SERVICE.,FALSE,AUTOMATION SERVICE.,credit@automationservice.com,(314) 785-6060,Bill-To,AUTOMATION SERVICE.,,13871 PARKS STEED DRIVE,,EARTH CITY,MO,63045,United States,2,No,
AVES INDUSTRIES,FALSE,AVES INDUSTRIES,,,Bill-To,AVES INDUSTRIES,,POB 40737,,FORT WORTH,TX,76140,United States,17,No,
AWC INC,FALSE,AWC INC,,(361) 504-4179,Bill-To,AWC INC,,POB 974800,,DALLAS,TX,75397-4800,United States,2,No,
AXALTA  POWDER COATING,FALSE,AXALTA  POWDER COATING,,,Bill-To,AXALTA  POWDER COATING,,DEPT 3490,,CAROL STREAM,IL,60132-3490,United States,2,No,
B&L Lock and Safe,FALSE,B&L Lock and Safe,,(281) 481-0234,Bill-To,B&L Lock and Safe,,10638 Almeda Genoa Rd,,Houston,TX,77034,United States,4,No,
BADGER METER,FALSE,BADGER METER,,(414) 355-0400,Bill-To,BADGER METER,,BOX 88223,,MILWAUKEE,WI,53288-0223,United States,2,No,
BANKCARD CENTER,FALSE,BANKCARD CENTER,,,Bill-To,BANKCARD CENTER,,POB 30833,,SALT LAKE CITY,UT,84130-0833,United States,2,No,
"BARSTOCK SPECIALTIES, INC",FALSE,"BARSTOCK SPECIALTIES, INC",,,Bill-To,"BARSTOCK SPECIALTIES, INC",,POB 974039,,DALLAS,TX,75397-4039,United States,2,No,
BAY AREA/GENERAL CRANE SERVICE CO,FALSE,BAY AREA/GENERAL CRANE SERVICE CO,,,Bill-To,BAY AREA/GENERAL CRANE SERVICE CO,,4206 WESLOW,,HOUSTON,TX,77087,United States,2,No,
"BAYOU AIR REPAIR, LLC",FALSE,"BAYOU AIR REPAIR, LLC",,,Bill-To,"BAYOU AIR REPAIR, LLC",,4285 MONTGOMERY CROSSING,,DOYLINE,LA,71023,United States,2,No,
BAYOU CITY BOLT & SUPPLY INC.,FALSE,BAYOU CITY BOLT & SUPPLY INC.,,,Bill-To,BAYOU CITY BOLT & SUPPLY INC.,,"6331 CULLEN, P.O. BOX 330264",,HOUSTON,TX,77041,United States,2,No,
BBP,FALSE,BBP,,,Bill-To,BBP,,337 HIGHLANDIA DRIVE,,BATON ROUGE,LA,70810,United States,2,No,
BDO,FALSE,BDO,lloving@bdo.com,(713) 960-1706,Bill-To,BDO,,POB 677973,,DALLAS,TX,75267-7973,United States,2,Yes,13-5381590
BEARING SERVICE & SUPPLY INC,FALSE,BEARING SERVICE & SUPPLY INC,,318-424-1447,Bill-To,BEARING SERVICE & SUPPLY INC,,POB 7750,,SHREVEPORT,LA,71137-7750,United States,2,No,
BEGNEAUD MANUFACTURING INC,FALSE,BEGNEAUD MANUFACTURING INC,,(337) 237-5069,Bill-To,BEGNEAUD MANUFACTURING INC,,POB 62949,,LAFAYETTE,LA,70596-2949,United States,2,No,
BITTER END TRADING LLC.,FALSE,BITTER END TRADING LLC.,,,Bill-To,BITTER END TRADING LLC.,,POB 215,,ELKINS,NH,03233,United States,2,No,
BKG MACHINE & FAB,FALSE,BKG MACHINE & FAB,,,Bill-To,BKG MACHINE & FAB,,5509 STATE HWY 185,,VICTORIA,TX,77905,United States,4,No,
BOB HERBERT & ASSOCIATES,FALSE,BOB HERBERT & ASSOCIATES,,,Bill-To,BOB HERBERT & ASSOCIATES,,2213 ALDINE BENDAR,,HOUSTON,TX,77032,United States,2,No,
BOB JONES WELDING & FABRICATION,FALSE,BOB JONES WELDING & FABRICATION,,(210) 818-0044,Bill-To,BOB JONES WELDING & FABRICATION,,1601 PORT LAVACA DRIVE,,VICTORIA,TX,77901,United States,2,Yes,42-1570976
BOBBY SHAW,FALSE,BOBBY SHAW,,,Bill-To,BOBBY SHAW,,426 FREEDOM CHURCH ROAD,,HARNED,KY,40144,United States,2,No,
"BOEDEKER PLASTICS, INC",FALSE,"BOEDEKER PLASTICS, INC",,,Bill-To,"BOEDEKER PLASTICS, INC",,904 WEST 6TH STREET,,SHINER,TX,77984,United States,2,No,
BOSSLASER,FALSE,BOSSLASER,accounting@bosslaser.com,(888) 652-1555,Bill-To,BOSSLASER,,608 Trestle Point,,Sanford,FL,32771,United States,2,No,
BPS SUPPLY GROUP.,FALSE,BPS SUPPLY GROUP.,,(885) 725-2366,Bill-To,BPS SUPPLY GROUP.,,"BPS SUPPLY GROUP
POB 842876",,DALLAS,TX,75284-2876,United States,2,No,
BRACKNELL ELECTRIC,FALSE,BRACKNELL ELECTRIC,troyexcel@yahoo.com,(361) 218-9245,Bill-To,BRACKNELL ELECTRIC,,POB 7943,,VICTORIA,TX,77903,United States,2,No,
BRADY WORLDWIDE,FALSE,BRADY WORLDWIDE,,,Bill-To,BRADY WORLDWIDE,,POB 71995,,CHICAGO,IL,60694-1995,United States,2,No,
Bridgefield Casualty Insurance Company,FALSE,Bridgefield Casualty Insurance Company,,,Bill-To,Bridgefield Casualty Insurance Company,,PPO Box 32034,,Lakeland,FL,33802-2034,United States,2,No,
BROWN'S BAYOU GLASS,FALSE,BROWN'S BAYOU GLASS,,,Bill-To,BROWN'S BAYOU GLASS,,1226 HOMER ROAD,,MINDEN,LA,71055,United States,4,No,
BUSINESS PROCESS ORGANIZATION,FALSE,BUSINESS PROCESS ORGANIZATION,,,Bill-To,BUSINESS PROCESS ORGANIZATION,,POB 2883,,HOUSTON,TX,77252-2883,United States,2,No,
C I ACTUATION,FALSE,C I ACTUATION,,,Bill-To,C I ACTUATION,,POB 842348,,DALLAS,TX,75284-2348,United States,2,No,
C.F. BIGGS CO,FALSE,C.F. BIGGS CO,,,Bill-To,C.F. BIGGS CO,,816 BENTON RD,,BOSSIER CITY,LA,71111,United States,2,No,
CADDO SIGNS LLC,FALSE,CADDO SIGNS LLC,,,Bill-To,CADDO SIGNS LLC,,8041 CONLEY ROAD,,VIVIAN,LA,71082,United States,2,No,
Caliber Valve& Controls,FALSE,Caliber Valve& Controls,,,Bill-To,Caliber Valve& Controls,,6896 Hwy 90 East,,Lake Charles,LA,70615,United States,2,No,
CAMERON INTERNATIONAL CORP,FALSE,CAMERON INTERNATIONAL CORP,,(225) 287-4058,Bill-To,CAMERON INTERNATIONAL CORP,,POB 731412,,DALLAS,TX,75373-1412,United States,2,No,
CAN-AM MACHINERY,FALSE,CAN-AM MACHINERY,,(978) 343-4400,Bill-To,CAN-AM MACHINERY,,44 OLD PRINCETON ROAD,,FITCHBURG,MA,01420,United States,2,No,
CAPITAL ONE,FALSE,CAPITAL ONE,,,Bill-To,CAPITAL ONE,,POB 60599,,CITY OF INDUSTRY,CA,91716-0599,United States,21,No,
CARBIDE TECH,FALSE,CARBIDE TECH,,(713) 475-0444,Bill-To,CARBIDE TECH,,POB 1852,,PASADENA,TX,77506,United States,2,No,
CASCADE AUTOMATION.,FALSE,CASCADE AUTOMATION.,,(541) 747-7979,Bill-To,CASCADE AUTOMATION.,,1702 28TH STREET,,SPRINGFIELD,OR,97477,United States,2,No,
CATAMARAN  INDUSTRIAL SERVICES,FALSE,CATAMARAN  INDUSTRIAL SERVICES,ar@catamaransolutions.com,(844) 422-8262,Bill-To,CATAMARAN  INDUSTRIAL SERVICES,,142 OLD SHREVEPORT ROAD,,MINDEN,LA,71055,United States,2,No,
"CC GASKET & FASTENER, INC",FALSE,"CC GASKET & FASTENER, INC",,(361) 884-6366,Bill-To,"CC GASKET & FASTENER, INC",,POB 4074,,CORPUS CHRISTI,TX,78469,United States,2,No,
CENTERPOINT ENERGY,FALSE,CENTERPOINT ENERGY,,,Bill-To,CENTERPOINT ENERGY,,PO BOX 4583,,HOUSTON,TX,77210-4583,United States,2,No,
CENTRO INC,FALSE,CENTRO INC,,,Bill-To,CENTRO INC,,"POB 1000, DEPT 532",,MEMPHIS,TN,38148,United States,2,No,
Charles Bison,FALSE,Charles Bison,,,Bill-To,Charles Bison,,8657 Chalmette Dr,,Shreveport,LA,71115,United States,2,No,
Charles K Thompson,FALSE,Charles K Thompson,charlie@pinhighcap.com,,Bill-To,Charles K Thompson,,"2311 Mid Lane, Apt 907",,Houston,TX,77027,United States,2,Yes,155-36-4761
CHASE CONTROLS LP,FALSE,CHASE CONTROLS LP,,,Bill-To,CHASE CONTROLS LP,,"702 S PERSIMMON STREET
SUITE # 1C",,TOMBALL,TX,77375,United States,2,No,
CHEETAH TRANSPORTATION,FALSE,CHEETAH TRANSPORTATION,,(281) 388-2300,Bill-To,CHEETAH TRANSPORTATION,,POB 5498,,HOUSTON,TX,77262,United States,2,No,
CHINA SHEET METAL & STAMPING SYNERGY GROUP,FALSE,CHINA SHEET METAL & STAMPING SYNERGY GROUP,,,Bill-To,CHINA SHEET METAL & STAMPING SYNERGY GROUP,,"RM 202, NO 33 BUILDING
1555 WEST JINSHAJIANG RD",,SHANGHAI,SHANGHAI,,CHINA,2,No,
CINTAS CORP,FALSE,CINTAS CORP,,,Bill-To,CINTAS CORP,,POB 650838,,DALLAS,TX,75265-0838,United States,2,No,
CINTAS CORP (OH),FALSE,CINTAS CORP (OH),,(469) 248-4763,Bill-To,CINTAS CORP (OH),,POB 631025,,CINCINNATI,OH,45263-1025,United States,2,No,
CISCO SYSTEMS INC,FALSE,CISCO SYSTEMS INC,,(866) 229-3239,Bill-To,CISCO SYSTEMS INC,,POB 91232,,CHICAGO,IL,60693-1232,United States,2,No,
City of Houston - Burglar Alarm Administration,FALSE,City of Houston - Burglar Alarm Administration,,,Bill-To,City of Houston - Burglar Alarm Administration,,PO Box 203887,,Houston,TX,77216-3887,United States,2,No,
CITY OF HOUSTON WATER,FALSE,CITY OF HOUSTON WATER,Diana.Morales2@houstontx.gov,(713) 371-1400,Bill-To,CITY OF HOUSTON WATER,,PO BOX 1560,,HOUSTON,TX,77251-1560,United States,2,No,
CLB ELECTRICAL SYSTEMS LLC,FALSE,CLB ELECTRICAL SYSTEMS LLC,electric1299@gmail.com,,Bill-To,CLB ELECTRICAL SYSTEMS LLC,,1511 CHIA ST.,,HOUSTON,TX,77017,United States,2,No,
CLEAN POWER SUPPLY,FALSE,CLEAN POWER SUPPLY,,(717) 859-4234,Bill-To,CLEAN POWER SUPPLY,,118 ROYER RD.,,EPHRATA,PA,17522,United States,2,No,
CLIFFORD CRUMP,FALSE,CLIFFORD CRUMP,,,Bill-To,CLIFFORD CRUMP,,3503 MEADOW LANE,,VICTORIA,TX,77901,United States,2,No,
Climax Portable Machining & Welding Systems,FALSE,Climax Portable Machining & Welding Systems,AR@CPMT.com,(800) 333-8311,Bill-To,Climax Portable Machining & Welding Systems,,PO Box 83402,,Chicago,IL,60691-0402,United States,2,No,
CNA SURETY DIRECT BILL,FALSE,CNA SURETY DIRECT BILL,,,Bill-To,CNA SURETY DIRECT BILL,,POB 957312,,ST LOUIS,MO,63195-7312,United States,2,No,
COASTAL FLOW LIQUID,FALSE,COASTAL FLOW LIQUID,,(713) 430-8923,Bill-To,COASTAL FLOW LIQUID,,POB 734979,,DALLAS,TX,75373-4979,United States,2,No,
COASTAL POWDER COATING,FALSE,COASTAL POWDER COATING,,(361) 485-9791,Bill-To,COASTAL POWDER COATING,,POB 3501,,VICTORIA,TX,77903,United States,2,No,
COILING TECHNOLOGIES,FALSE,COILING TECHNOLOGIES,ACCOUNTING@COILINGTECH.COM,,Bill-To,COILING TECHNOLOGIES,,7777 WRIGHT ROAD,,HOUSTON,TX,77041-2427,United States,2,No,
COLLINS SUPPLY,FALSE,COLLINS SUPPLY,,(361) 578-7473,Bill-To,COLLINS SUPPLY,,118-C STONER ROAD,,VICTORIA,TX,77901,United States,2,No,
COMCAST,FALSE,COMCAST,,,Bill-To,COMCAST,,POB 60533,,CITY OF INDUSTRY,CA,91716-0533,United States,20,No,
COMPADRES DESIGN INC.,FALSE,COMPADRES DESIGN INC.,,(361) 570-7446,Bill-To,COMPADRES DESIGN INC.,,"4002 N MAIN STREET
STE# 400",,VICTORIA,TX,77901,United States,2,No,
CONTROLSETPOINT CORP,FALSE,CONTROLSETPOINT CORP,,(281) 507-9429,Bill-To,CONTROLSETPOINT CORP,,6725 SOUTH FRY ROAD,,KATY,TX,77494,United States,2,No,
CONVERGE DESIGN,FALSE,CONVERGE DESIGN,,,Bill-To,CONVERGE DESIGN,,"C/O ADVANCE FINANCIAL CORP
POB 1147",,ALPHARETTA,GA,30009-1147,United States,2,No,
CORROSION MATERIALS,FALSE,CORROSION MATERIALS,,,Bill-To,CORROSION MATERIALS,,PO BOX 1640,,ZACHARY,LA,70791,United States,2,No,
CPI,FALSE,CPI,,,Bill-To,CPI,,6421 PERKINS RD,,BATON ROUGE,LA,70808,United States,2,No,
CSC,FALSE,CSC,,,Bill-To,CSC,,POB 7410023,,CHICAGO,IL,60674-5023,United States,2,No,
CUSTOM AEROSOL PRODUCTS,FALSE,CUSTOM AEROSOL PRODUCTS,JDOWNING@CUSTOM-AEROSOL.COM,(972) 382-4321,Bill-To,CUSTOM AEROSOL PRODUCTS,,919 N LOUISIANA DRIVE,,CELINA,TX,75009,United States,2,No,
CUSTOM HOSE AND SUPPLY,FALSE,CUSTOM HOSE AND SUPPLY,,,Bill-To,CUSTOM HOSE AND SUPPLY,,PO BOX 679,,PALENSTINE,TX,75802,United States,2,No,
CVS CONTROLS LTD.,FALSE,CVS CONTROLS LTD.,,,Bill-To,CVS CONTROLS LTD.,,3900-101 STREET,,EDMONTON,ALBERTA,T6E 0A5,CANADA,2,No,
David Marshall,FALSE,David Marshall,dmarshall@sullivanprocess.com,,Bill-To,David Marshall,,423 Wilchester Blvd,,Houston,TX,77079,United States,2,Yes,097-60-9065
DAVID NORCROSS,FALSE,DAVID NORCROSS,Epower4u@comcast.net,(603) 438-1977,Bill-To,DAVID NORCROSS,,2 AUDREY LANE,,NEWTON,NH,03858,United States,4,No,
DC ELITE LLC,FALSE,DC ELITE LLC,,,Bill-To,DC ELITE LLC,,"19830 FM 1093 
Suite 1401",,RICHMOND,TX,77407,United States,4,No,
DEBBIE'S HOT SHOT,FALSE,DEBBIE'S HOT SHOT,,(361) 788-4088,Bill-To,DEBBIE'S HOT SHOT,,POB 1717,,VICTORIA,TX,77902-1717,United States,2,No,
DECA SYSTEMS,FALSE,DECA SYSTEMS,,504-273-2770,Bill-To,DECA SYSTEMS,,11411-B DARRYL DR,,BATON ROUGE,LA,70815,United States,2,No,
Delaware Secretary of State,FALSE,Delaware Secretary of State,,,Bill-To,Delaware Secretary of State,,"DIVISION OF CORPORATIONS
POB 5509",,BINGHAMTON,NY,13902-5509,United States,2,No,
DELL BUSINESS CREDIT,FALSE,DELL BUSINESS CREDIT,,,Bill-To,DELL BUSINESS CREDIT,,"PAYMENT PROCESSING CENTER
POB 5275",,CAROL STREAM,IL,60197-5275,United States,21,No,
DHL EXPRESS,FALSE,DHL EXPRESS,,,Bill-To,DHL EXPRESS,,16592 COLLECTIONS CNTR DR,,CHICAGO,IL,60693,United States,2,No,
DIGIBOX CREATIVE,FALSE,DIGIBOX CREATIVE,duke@digiboxcreative.com,(318) 918-6178,Bill-To,DIGIBOX CREATIVE,,"1200 N HUMBOLDT STREET
#302",,DENVER,CO,80218,United States,2,No,
"DISA GLOBAL SOLUTIONS, INC",FALSE,"DISA GLOBAL SOLUTIONS, INC",,,Bill-To,"DISA GLOBAL SOLUTIONS, INC",,DEPT 3731 POB 123731,,DALLAS,TX,75312-3731,United States,2,No,
DMR MECHANICAL,FALSE,DMR MECHANICAL,,,Bill-To,DMR MECHANICAL,,POB 19507,,SHREVEPORT,LA,71149,United States,4,No,
DOUGLAS MACHINE INC,FALSE,DOUGLAS MACHINE INC,,(318) 425-8376,Bill-To,DOUGLAS MACHINE INC,,1540 GRIMMETT DRIVE,,SHREVEPORT,LA,71107,United States,17,No,
DWYER INSTRUMENTS INC,FALSE,DWYER INSTRUMENTS INC,,(219) 879-8868,Bill-To,DWYER INSTRUMENTS INC,,POB 338,,MICHIGAN CITY,IN,46361,United States,16,No,
DXP ENTERPRISES INC,FALSE,DXP ENTERPRISES INC,,,Bill-To,DXP ENTERPRISES INC,,POB 840511,,DALLAS,TX,75284-0511,United States,2,No,
DYNAMOVA SOLUTION,FALSE,DYNAMOVA SOLUTION,,,Bill-To,DYNAMOVA SOLUTION,,,,,,,INDIA,2,No,
EARLE M JORGENSEN CO,FALSE,EARLE M JORGENSEN CO,,(214) 741-1761,Bill-To,EARLE M JORGENSEN CO,,POB 951607,,DALLAS,TX,75395-1607,United States,2,No,
EDGE COMMUNICATIONS,FALSE,EDGE COMMUNICATIONS,,,Bill-To,EDGE COMMUNICATIONS,,POB 610311,,DALLAS,TX,75261-0311,United States,2,No,
EDGE OFFICE PRODUCTS,FALSE,EDGE OFFICE PRODUCTS,,(800) 657-5220,Bill-To,EDGE OFFICE PRODUCTS,,1909 JUDSON ROAD,,LONGVIEW,TX,75605,United States,2,No,
EHTEREDGE INDUSTRIAL,FALSE,EHTEREDGE INDUSTRIAL,,(318) 688-5351,Bill-To,EHTEREDGE INDUSTRIAL,,POB 19570,,SHREVEPORT,LA,71149,United States,2,No,
ELECTROLESS NICKEL PLATING OF LA,FALSE,ELECTROLESS NICKEL PLATING OF LA,,(985) 345-6352,Bill-To,ELECTROLESS NICKEL PLATING OF LA,,44211 STEIN ROAD,,HAMMOND,LA,70403-2515,United States,2,No,
ELITE CRETE SYSTEMS SETX,FALSE,ELITE CRETE SYSTEMS SETX,,(713) 823-5410,Bill-To,ELITE CRETE SYSTEMS SETX,,18703 W LITTLE YORK RD STE# 304,,KATY,TX,77449,United States,4,No,
ELLIOTT ELECTRIC SUPPLY,FALSE,ELLIOTT ELECTRIC SUPPLY,,,Bill-To,ELLIOTT ELECTRIC SUPPLY,,POB 206524,,DALLAS,TX,75320-6524,United States,2,No,
Engineworxs Sales & Services,FALSE,Engineworxs Sales & Services,,(575) 616-1775,Bill-To,Engineworxs Sales & Services,,225 Lake Arthur Hwy,,Artesia,NM,88210,United States,2,No,
"ENVIRONMENTAL STERI-CLEAN, LLC",FALSE,"ENVIRONMENTAL STERI-CLEAN, LLC",,(318) 301-1035,Bill-To,"ENVIRONMENTAL STERI-CLEAN, LLC",,1180 HWY 80,,HAUGHTON,LA,71037,United States,4,No,
EPCO OF LA,FALSE,EPCO OF LA,,(504) 254-1199,Bill-To,EPCO OF LA,,4330 POCHE COURT WEST,,NEW ORLEANS,LA,70129,United States,2,No,
EPSI,FALSE,EPSI,ar@epsi.com,(262) 835-0782,Bill-To,EPSI,,DEPT CH 18215,,PALATINE,IL,60055-8215,United States,2,No,
EPTEX Coatings,FALSE,EPTEX Coatings,sales@eptexcoatings.com,(915) 313-9333,Bill-To,EPTEX Coatings,,5559 El Paso Dr,,El Paso,TX,79905,United States,2,No,
EQUIPMENT INC,FALSE,EQUIPMENT INC,,(318) 674-8824,Bill-To,EQUIPMENT INC,,POB 1987,,JACKSON,MS,39215,United States,2,No,
ESP,FALSE,ESP,,,Bill-To,ESP,,3295 COBB INTERNATIONAL BLVD,,KENNESAW,GA,30152,United States,2,No,
EULER HERMES,FALSE,EULER HERMES,,,Bill-To,EULER HERMES,,"C/O FINANCE DEPT
800 RED BROOK BLVD",,OWINGS MILL,MD,21117-1008,United States,2,No,
FAIRCHILD INDUSTRIAL PRODUCTS,FALSE,FAIRCHILD INDUSTRIAL PRODUCTS,,,Bill-To,FAIRCHILD INDUSTRIAL PRODUCTS,,POB 6318,,CAROL STREAM,IL,60197-6318,United States,2,No,
FASTENAL COMPANY,FALSE,FASTENAL COMPANY,,(866) 880-3278,Bill-To,FASTENAL COMPANY,,POB 1286,,WINONA,MN,55987-1286,United States,2,No,
FEDEX  FREIGHT,FALSE,FEDEX  FREIGHT,,800-845-4647,Bill-To,FEDEX  FREIGHT,,PO BOX 10306,,PALATINE,IL,60055-0306,United States,2,No,
FEDEX GROUND,FALSE,FEDEX GROUND,,,Bill-To,FEDEX GROUND,,POB 660481,,DALLAS,TX,75266-0481,United States,2,No,
FERGUSON INDUSTRIAL #2735,FALSE,FERGUSON INDUSTRIAL #2735,,(713) 491-5000,Bill-To,FERGUSON INDUSTRIAL #2735,,POB 847411,,DALLAS,TX,75284-7411,United States,21,No,
FIRE MONSTER,FALSE,FIRE MONSTER,,(361) 579-7929,Bill-To,FIRE MONSTER,,POB 339,,GOLIAD,TX,77963,United States,2,No,
