entityId,isperson,companyname,category,email,phone,Address1_Addressee,Address1_phone,Address1_line1,Address1_city,Address1_state,Address1_zipCode,Address1_country,Address1_defaultBilling,Address1_defaultShipping,terms,Taxable Status
BBP SALES LLC,No,BBP SALES LLC,10,accounting@bbpsales.com,(225) 751-4142,BBP SALES LLC,(225) 751-4142,337 HIGHLANDIA DR,BATON ROUGE,LA,70810,United States,Yes,No,2,No
BC OILFIELD SERVICES,No,BC OILFIELD SERVICES,10,richard@bcosi.com,(351) 573-6355,BC OILFIELD SERVICES,(351) 573-6355,POB 5033,VICTORIA,TX,77903,United States,Yes,No,11,No
BDI USA,No,BDI USA,10,APinvoices@BDIworldwide.com,,BDI USA,,PO BOX 458035,WESTLAKE,OH,44145,United States,Yes,No,2,Yes
BEACON WEST ENERGY GROUP,No,BEACON WEST ENERGY GROUP,10,invoices@beacon-west.com,(805) 395-9747,BEACON WEST ENERGY GROUP,(805) 395-9747,"1145 EUGENIA PLACE
STE# 101 ATTN: A/P DEPT",CARPINTERIA,CA,93013,United States,Yes,No,2,No
BIG RIVERS ELECTRIC CORP,No,BIG RIVERS ELECTRIC CORP,4,tonja.hay@bigrivers.com,(270) 844-6147,BIG RIVERS ELECTRIC CORP,(270) 844-6147,"D.B. WILSON STATION
5663 STATE ROUTE 85 WEST",CENTERTOWN,KY,42328,United States,Yes,No,2,No
BITTER END TRADING,No,BITTER END TRADING,10,bitterendtrading@gmail.com,(603) 763-9777,BITTER END TRADING,(603) 763-9777,POB 215,ELKINS,NH,03233,United States,Yes,No,2,Yes
BK ENERGY SERVICES LLC,No,BK ENERGY SERVICES LLC,10,bkenergyservices@gmail.com,3182513226 x115,BK ENERGY SERVICES LLC,3182513226 x115,3936 RIDGE ROAD,CASTOR,LA,71016,United States,Yes,No,2,No
BLACK BEAR MIDSTREAM,No,BLACK BEAR MIDSTREAM,6,ap@blackbearmidstream.com,(281) 407-2711,BLACK BEAR MIDSTREAM,(281) 407-2711,POB 55948,HOUSTON,TX,77255,United States,Yes,No,2,No
BLACK BEAR TRANSMISSION LLC,No,BLACK BEAR TRANSMISSION LLC,6,,(318) 665-4426,BLACK BEAR TRANSMISSION LLC,(318) 665-4426,910 LOUISIANA STREET STE# 240,HOUSTON,TX,77002,United States,Yes,No,2,Yes
BLACKSTONE STATION,No,BLACKSTONE STATION,3,carol_coelho@harvard.edu,(617) 496-2892,BLACKSTONE STATION,(617) 496-2892,"HARVARD UNIVERSITY
46 BLACKSTONE STREET",CAMBRIDGE,MA,02139,United States,Yes,No,2,No
"Blue Ridge Fiberboard, Inc.",No,"Blue Ridge Fiberboard, Inc.",5,tyeatts@blueridgefiberboard.com,(434) 797-1321,"Blue Ridge Fiberboard, Inc.",(434) 797-1321,250 Celotex Dr,Danville,VA,24541,United States,Yes,No,2,No
BLUECREST ALASKA OPERATING LLC,No,BLUECREST ALASKA OPERATING LLC,6,AP@Bluecrestenergy.com,(281) 664-7222,BLUECREST ALASKA OPERATING LLC,(281) 664-7222,"3301 C STREET 
STE# 202",ANCHORAGE,AK,99503,United States,Yes,No,2,No
BOILER ROOM SERVICES,No,BOILER ROOM SERVICES,10,boileroomservice@aol.com,(712) 281-4584,BOILER ROOM SERVICES,(712) 281-4584,15 DORCHESTER ROAD,SIOUX CITY,IA,51106,United States,Yes,No,2,No
BOILER SUPPLY,No,BOILER SUPPLY,10,payables@boisco.com,(800) 849-5001,BOILER SUPPLY,(800) 849-5001,POB 40225,NASHVILLE,TN,37204,United States,Yes,No,2,No
BOISE CASCADE,No,BOISE CASCADE,5,submitinvoice@bc.com,318-586-8200,BOISE CASCADE,318-586-8200,POB 8187,BOISE,ID,83707-2187,United States,Yes,No,2,No
BPM,No,BPM,10,,,BPM,,200 W FRONT STREET,PESTIGO,WI,54157,United States,Yes,No,2,No
BPS SUPPLY GROUP,No,BPS SUPPLY GROUP,10,ap@bpssg.com,(832) 310-2368,BPS SUPPLY GROUP,(832) 310-2368,POB 639,BAKERSFIELD,CA,93302,United States,Yes,No,2,No
BPX PRODUCTION COMPANY,No,BPX PRODUCTION COMPANY,6,Trace.Mandino@bpx.com,(866) 627-3287,BPX PRODUCTION COMPANY,(866) 627-3287,501 WESTLAKE PARK BLVD,HOUSTON,TX,77079,United States,Yes,No,3,Yes
BRADFORD SUPPLY,No,BRADFORD SUPPLY,10,dave@bradfordsupplyinc.com,(740) 886-4442,BRADFORD SUPPLY,(740) 886-4442,1216 STATE ROUTE 775,PROCTORVILLE,OH,45669,United States,Yes,No,2,No
BRANCH ENERGY,No,BRANCH ENERGY,6,rlawson@branch-energy.com,(903) 892-2625,BRANCH ENERGY,(903) 892-2625,880 PLAINVIEW ROAD,SHERMAN,TX,75092,United States,Yes,No,2,No
BRANDON SERVICE CO,No,BRANDON SERVICE CO,10,gwatts@brandonservice.com,(601) 373-6363,BRANDON SERVICE CO,(601) 373-6363,POB 6464,JACKSON,MS,39282-6464,United States,Yes,No,2,No
BREWSTER PROCUREMENT GROUP,No,BREWSTER PROCUREMENT GROUP,10,orders@brewsterprocurement.com,(337) 291-9009,BREWSTER PROCUREMENT GROUP,(337) 291-9009,401 WEST MAIN STREET,LAFAYETTE,LA,70501,United States,Yes,No,2,Yes
BRYAN TEXAS UTILITIES,No,BRYAN TEXAS UTILITIES,4,ap@btutilities.com,(979) 821-5947,BRYAN TEXAS UTILITIES,(979) 821-5947,POB 1000,BRYAN,TX,77805,United States,Yes,No,2,No
BYIS MANUFACTURING LLC,No,BYIS MANUFACTURING LLC,8,byisoffice@cox.net,(620) 221-4603,BYIS MANUFACTURING LLC,(620) 221-4603,318 CEDAR LANE,WINFIELD,KS,67156,United States,Yes,No,2,No
CABOT NORIT AMERICAS,No,CABOT NORIT AMERICAS,2,cabotnorit.invoices@cabotcorp.com,(903) 923-1000,CABOT NORIT AMERICAS,(903) 923-1000,3200 UNIVERSITY AVENUE,MARSHALL,TX,75670,United States,Yes,No,2,No
CALIBER VALVE & CONTROLS,No,CALIBER VALVE & CONTROLS,10,treed@calibervalve.com,(337) 602-6481,CALIBER VALVE & CONTROLS,(337) 602-6481,6896 HWY 90 EAST,LAKE CHARLES,LA,70615,United States,Yes,No,2,No
CALUMET REFINING CO,No,CALUMET REFINING CO,2,calumetrefap@calumetspecialty.com,(318) 706-7032,CALUMET REFINING CO,(318) 706-7032,"2780 WATERFRONT PKWY 
EAST DRIVE",INDIANAPOLIS,IN,46214,United States,Yes,No,2,No
CANES MIDSTREAM G&P LLC,No,CANES MIDSTREAM G&P LLC,6,ap@canesmidstream.com,(469) 290-4100,CANES MIDSTREAM G&P LLC,(469) 290-4100,2000 MCKINNEY AVENUE SUITE 400,DALLAS,TX,75201,United States,Yes,No,2,No
CAPITAL VALVE SERVICE,No,CAPITAL VALVE SERVICE,10,captalvalveservice@gmail.com,(215) 288-5800,CAPITAL VALVE SERVICE,(215) 288-5800,2525 ORTHODOX STREET,PHILADELPHIA,PA,19137,United States,Yes,No,2,No
CARBERY GROUP,No,CARBERY GROUP,3,payables@carbery.com,,CARBERY GROUP,,BALLINEEN,CO CORK,Cork,P47 YW77,Ireland,Yes,No,11,Yes
CCS INDUSTRIAL SERVICES,No,CCS INDUSTRIAL SERVICES,10,nathan@ccsservices.us,(769) 456-2002,CCS INDUSTRIAL SERVICES,(769) 456-2002,31 DAVID SWAN LANE,PURVIS,MS,39475,United States,Yes,No,2,Yes
CDK INDUSTRIAL SOLUTIONS,No,CDK INDUSTRIAL SOLUTIONS,10,marty@cdkindustrial.com,(601) 664-2171,CDK INDUSTRIAL SOLUTIONS,(601) 664-2171,608 ELDORADO ROAD STE# 34,PEARL,MS,39208,United States,Yes,No,2,Yes
CELANESE LTD,No,CELANESE LTD,2,tracy.kirkwood@celanese.com,(281) 474-6200,CELANESE LTD,(281) 474-6200,9502 BAY PORT BLVD,PASADENA,TX,77507,United States,Yes,No,11,Yes
CENTERPOINT ENERGY.,No,CENTERPOINT ENERGY.,4,shawn.thomas@centerpointenergy.com,(318) 429-3886,CENTERPOINT ENERGY.,(318) 429-3886,POB 1374,HOUSTON,TX,77251,United States,Yes,No,2,Yes
CENTRAL STATES IND. SUPPLY,No,CENTRAL STATES IND. SUPPLY,10,acctpy@csgmail.com,(402) 894-1003,CENTRAL STATES IND. SUPPLY,(402) 894-1003,8720 S 137TH CIRCLE,OMAHA,NE,68138,United States,Yes,No,2,No
CERTAINTEED LLC,No,CERTAINTEED LLC,5,NA-APinvoices@saint-gobain.com,(318) 677-2705,CERTAINTEED LLC,(318) 677-2705,POB 2864,CLINTON,IA,52733-2864,United States,Yes,No,11,Yes
CHALMERS & KUBECK SOUTH,No,CHALMERS & KUBECK SOUTH,10,jfeaster@candksouth.com,803-791-6012 EXT# 2507,CHALMERS & KUBECK SOUTH,803-791-6012 EXT# 2507,1125 WALTER PRICE STREET,CAYCE,SC,29033,United States,Yes,No,11,Yes
CHAMPIONX LLC,No,CHAMPIONX LLC,2,1401GV@championx.com,(979) 239-5839,CHAMPIONX LLC,(979) 239-5839,POB 557,CHESTERTON,IN,46304,United States,Yes,No,2,Yes
CHARGER ENERGY SERVICES,No,CHARGER ENERGY SERVICES,8,cfree@chargerenergyservices.com,(432) 687-1848,CHARGER ENERGY SERVICES,(432) 687-1848,POB 80865,MIDLAND,TX,79708,United States,Yes,No,2,No
CHART INDUSTRIES,No,CHART INDUSTRIES,8,kristie.vice@chartindustries.com,(713) 413-3000,CHART INDUSTRIES,(713) 413-3000,55 SOUTHBELT INDUSTRIAL DR,HOUSTON,TX,77047-7011,United States,Yes,No,11,Yes
CHEMAC CO,No,CHEMAC CO,10,chemac@chemacvalveautomation.com,(304) 744-1166,CHEMAC CO,(304) 744-1166,326 7TH AVENUE,SOUTH CHARLESTON,WV,25303,United States,Yes,No,2,No
CHEMTRADE SOLUTIONS,No,CHEMTRADE SOLUTIONS,10,ebest@chemtradelogistics.com,(360) 299-1566,CHEMTRADE SOLUTIONS,(360) 299-1566,8579 NORTH TEXAS ROAD,ANACORTES,WA,98221-8603,United States,Yes,No,17,Yes
CHEYENNE PETROLEUM,No,CHEYENNE PETROLEUM,6,bhampton@cheypet.com,,CHEYENNE PETROLEUM,,1400 QUAIL SPRINGS PKWY STE# 2200,OKLAHOMA CITY,OK,73134,United States,Yes,No,2,No
CHURCH & DWIGHT CO.,No,CHURCH & DWIGHT CO.,2,APOFCHD@churchdwight.com,4199924244,CHURCH & DWIGHT CO.,4199924244,2501 E County Rd 34,Old Fort,OH,44861,United States,Yes,No,3,Yes
"CIC, INC",No,"CIC, INC",10,kirk@cicpro.com,(704) 786-1700,"CIC, INC",(704) 786-1700,7950 WEST WINDS BLVD,CONCORD,NC,28027,United States,Yes,No,2,No
Cima Controls Company,No,Cima Controls Company,10,wcolina@cimacontrolscompany.com,(281) 650-3968,Cima Controls Company,(281) 650-3968,"9119 Hwy 6 South, #230",Missouri City,TX,77459,United States,Yes,No,11,No
CITGO,No,CITGO,2,,(409) 926-4104,CITGO,(409) 926-4104,POB 698,SOUR LAKE,TX,77659,United States,Yes,No,2,Yes
CITY OF CLEMSON,No,CITY OF CLEMSON,4,sramey@cityofclemson.org,8646532046 op#3,CITY OF CLEMSON,8646532046 op#3,300 COCHRAN ROAD,CLEMSON,SC,29631,United States,Yes,No,2,Yes
CITY OF MARSHALL,No,CITY OF MARSHALL,4,JMcClendon@marshalltexas.net,,CITY OF MARSHALL,,POB 698,MARSHALL,TX,75671,United States,Yes,No,2,No
CITY OF MINDEN,No,CITY OF MINDEN,4,,3183771212.00,CITY OF MINDEN,3183771212,POB 580,Minden,LA,,United States,Yes,No,2,No
CIVITAS RESOURCES,No,CIVITAS RESOURCES,6,royalties@civiresources.com,(720) 440-6100,CIVITAS RESOURCES,(720) 440-6100,"c/o CIVITAS RESOURCES
555 17TH STREET STE# 3700",DENVER,CO,80202,United States,Yes,No,11,No
Clean Combustion Inc,No,Clean Combustion Inc,10,,(281) 705-6958,Clean Combustion Inc,(281) 705-6958,"POB 890
14210 Highway 146",Dayton,TX,77580,United States,Yes,No,11,Yes
CLEAN HARBORS,No,CLEAN HARBORS,10,means.patty@cleanharbors.com,,CLEAN HARBORS,,309 AMERICAN CIRCLE,EL DORADO,AR,71730,United States,Yes,No,2,Yes
CLECO POWER LLC,No,CLECO POWER LLC,4,apinvoices@cleco.com,(318) 793-1133,CLECO POWER LLC,(318) 793-1133,POB 4387,PINEVILLE,LA,71361-4387,United States,Yes,No,2,Yes
CLEVELAND VALVE & GAUGE,No,CLEVELAND VALVE & GAUGE,10,ap@fcxperformance.com,(216) 362-1702,CLEVELAND VALVE & GAUGE,(216) 362-1702,3000 E 14TH AVENUE,COLUMBUS,OH,43219,United States,Yes,No,2,Yes
CMC STEEL NEW JERSEY,No,CMC STEEL NEW JERSEY,3,Mackenzie.fornville@cmc.com,(732) 401-1157,CMC STEEL NEW JERSEY,(732) 401-1157,"POB 139094
A/P SHARED SERVICES",DALLAS,TX,75313-9094,United States,Yes,No,11,Yes
CMS ENGINEERED PRODUCTS LLC,No,CMS ENGINEERED PRODUCTS LLC,10,info@cmsengineeredproducts.com,(317) 292-2914,CMS ENGINEERED PRODUCTS LLC,(317) 292-2914,235 W 54TH STREET,INDIANAPOLIS,IN,46208,United States,Yes,No,2,No
COASTAL FLOW MEASUREMENT,No,COASTAL FLOW MEASUREMENT,10,apinvoices@quorumsoftware.com,(713) 430-8600,COASTAL FLOW MEASUREMENT,(713) 430-8600,22210 MCCLESKEY ROAD,NEW CANEY,TX,77357,United States,Yes,No,2,No
COASTAL STRUCTURES,No,COASTAL STRUCTURES,8,jacob@coastalstructures.com,,COASTAL STRUCTURES,,407 CHURCH STREET UNIT J,GEORGETOWN,SC,29440,United States,Yes,No,2,Yes
COKE MACHINE CO (DBA CMI VALVE),No,COKE MACHINE CO (DBA CMI VALVE),10,accounting@cmi-valve.com,(713) 724-8277,COKE MACHINE CO (DBA CMI VALVE),(713) 724-8277,P.O. BOX 1925,STAFFORD,TX,77497,United States,Yes,No,2,No
COLLINS PRODUCTS LLC,No,COLLINS PRODUCTS LLC,5,CP-AP@collinsCo.com,(503) 471-5264,COLLINS PRODUCTS LLC,(503) 471-5264,"6410 HWY 66 
AP",KLAMATH FALLS,OR,97601,United States,Yes,No,2,Yes
COLUMBUS RUBBER AND GASKET,No,COLUMBUS RUBBER AND GASKET,10,angie@columbusrandg.com,(662) 328-7687,COLUMBUS RUBBER AND GASKET,(662) 328-7687,POB 2206,COLUMBUS,MS,39704,United States,Yes,No,2,Yes
"COM-PAC SYSTEMS, INC",No,"COM-PAC SYSTEMS, INC",8,kristin@compressorpackaging.com,4323324515,"COM-PAC SYSTEMS, INC",4323324515,2412 S MARKET STREET,ODESSA,TX,79766,United States,Yes,No,2,No
CONSOLIDATED NUCLEAR SECURITY LLC,No,CONSOLIDATED NUCLEAR SECURITY LLC,8,,,CONSOLIDATED NUCLEAR SECURITY LLC,,POB 2009,OAK RIDGE,TN,37831-8265,United States,Yes,No,2,No
CONTINENTAL CARBON CO,No,CONTINENTAL CARBON CO,2,apponca@continentalcarbon.com,(281) 647-3732,CONTINENTAL CARBON CO,(281) 647-3732,1006 E OAKLAND AVE,PONCA CITY,OK,74601,United States,Yes,No,2,No
"Control Integral Alfa, S.A. DE C.V.",No,"Control Integral Alfa, S.A. DE C.V.",10,ciacontrolac@aim.com,(956) 843-8289,"Control Integral Alfa, S.A. DE C.V.",(956) 843-8289,LA BARCA #805 COL. MITRAS SUR,MONTERREY N.L.,MEXICO,64020,United States,Yes,No,11,Yes
CONTROL PLUS INC,No,CONTROL PLUS INC,10,kclark@controlplus.com,(706) 860-6900,CONTROL PLUS INC,(706) 860-6900,POB 16455,AUGUSTA,GA,30919-2455,United States,Yes,No,2,Yes
CONTROL VALVE SOLUTIONS LTD,No,CONTROL VALVE SOLUTIONS LTD,10,,,CONTROL VALVE SOLUTIONS LTD,,"UNIT 7 MINTO PLACE
MINTO COMMERCIAL PARK",ABERDEEN,,AB12 3SN,Scotland,Yes,No,11,Yes
"Control-Tech, Inc.",No,"Control-Tech, Inc.",10,AP@CONTROL-TECHINC.COM,3096921029,"Control-Tech, Inc.",3096921029,8938 N Prairie Pt,Peoria,IL,61615,United States,Yes,No,2,No
COUNTRYMARK REFINING & LOGISTICS,No,COUNTRYMARK REFINING & LOGISTICS,2,APRL@countrymark.com,8128388144,COUNTRYMARK REFINING & LOGISTICS,8128388144,1200 REFINERY RD,VERNON,IN,47620,United States,Yes,No,2,No
CRAIG INTERNATIONAL SUPPLIES,No,CRAIG INTERNATIONAL SUPPLIES,10,Erica.Sims@craig-group.com,(281) 710-9180,CRAIG INTERNATIONAL SUPPLIES,(281) 710-9180,1704 RANKIN ROAD STE# 190,HOUSTON,TX,77073,United States,Yes,No,2,No
CROWN MIDSTREAM,No,CROWN MIDSTREAM,6,ed.fuller@crownmidstream.com,5803612217,CROWN MIDSTREAM,5803612217,RT 1 BOX 109,BALKO,OK,73931,United States,Yes,No,2,No
CRT-CHEMICAL REFINING & TERMINAL SERVICES,No,CRT-CHEMICAL REFINING & TERMINAL SERVICES,10,accounting@crt-usa.com,(713) 589-1133,CRT-CHEMICAL REFINING & TERMINAL SERVICES,(713) 589-1133,15820 LORENZO ST.,CHANNELVIEW,TX,77530,United States,Yes,No,2,Yes
CUSTOM HOSE & SUPPLY,No,CUSTOM HOSE & SUPPLY,10,lori@customhosellc.com,(903) 389-7208,CUSTOM HOSE & SUPPLY,(903) 389-7208,POB 679,PALESTINE,TX,75802,United States,Yes,No,2,No
CUSTOM VALVE REPAIR,No,CUSTOM VALVE REPAIR,10,accountspay@custom-valve.com,(724) 652-9041,CUSTOM VALVE REPAIR,(724) 652-9041,RD #1 BOX 271,NEW CASTLE,PA,16101,United States,Yes,No,2,Yes
DANCHEM,No,DANCHEM,8,dtiinvoices@danchem.com,(434) 797-8120,DANCHEM,(434) 797-8120,1975 OLD RICHMOND RD,DANVILLE,VA,24540,United States,Yes,No,2,Yes
DESOTO GATHERING CO LLC,No,DESOTO GATHERING CO LLC,6,jennifer.bennett@flywheelenergy.com,(405) 702-6991,DESOTO GATHERING CO LLC,(405) 702-6991,"621 N ROBINSON AVE
SUITE 300",OKLAHOMA CITY,OK,73102,United States,Yes,No,2,No
DISTRIBUTION NOW,No,DISTRIBUTION NOW,1,victor.merritt@dnow.com,(903) 693-2596,DISTRIBUTION NOW,(903) 693-2596,114 WILSON STREET,CARTHAGE,TX,75633,United States,Yes,No,11,No
DIVERSIFIED CONTROLS INC.,No,DIVERSIFIED CONTROLS INC.,10,invoices@diversifiedcontrolsinc.com,(770) 932-5844,DIVERSIFIED CONTROLS INC.,(770) 932-5844,"3640 BURNETTE PARK DRIVE SUITE ""B""",SUWANEE,GA,30024,United States,Yes,No,2,Yes
DIVERSIFIED GAS & OIL,No,DIVERSIFIED GAS & OIL,6,aweaver@dgoc.com,,DIVERSIFIED GAS & OIL,,121 EXCO PVT DRIVE,GRAND CANE,LA,71030,United States,Yes,No,11,Yes
DK/AMANS VALVE & SUPPLY,No,DK/AMANS VALVE & SUPPLY,10,Dosano.Delo@Teaminc.com,(562) 529-8400,DK/AMANS VALVE & SUPPLY,(562) 529-8400,2407 E ARTESIA BLVD,LONG BEACH,CA,90805,United States,Yes,No,2,No
DNOW L.P.,No,DNOW L.P.,1,bryanna.lunsford@dnow.com,,DNOW L.P.,,"P.O. BOX
Attn: Distribution AP",HOUSTON,TX,77240-0985,United States,Yes,No,2,Yes
DOMINION ENERGY,No,DOMINION ENERGY,4,paul.grandy@dominionenergy.com,(803) 827-2544,DOMINION ENERGY,(803) 827-2544,100 URQUHART DRIVE,BEACH ISLAND,SC,29842,United States,Yes,No,11,Yes
