entityId,phone,Address1_phone,Internal Id
CELANESE LTD,(281) 474-6200,(281) 474-6200,621
CENTERPOINT ENERGY.,(318) 429-3886,(318) 429-3886,622
CENTRAL STATES IND. SUPPLY,(402) 894-1003,(402) 894-1003,623
CERTAINTEED LLC,(318) 677-2705,(318) 677-2705,624
CHALMERS & KUBECK SOUTH,803-791-6012,803-791-6012,625
CHAMPIONX LLC,(979) 239-5839,(979) 239-5839,626
CHARGER ENERGY SERVICES,(432) 687-1848,(432) 687-1848,627
CHART INDUSTRIES,(713) 413-3000,(713) 413-3000,628
CHEMAC CO,(304) 744-1166,(304) 744-1166,629
CHEMTRADE SOLUTIONS,(360) 299-1566,(360) 299-1566,630
CHEYENNE PETROLEUM,,,631
CHURCH & DWIGHT CO.,4199924244,4199924244,632
"CIC, INC",(704) 786-1700,(704) 786-1700,633
Cima Controls Company,(281) 650-3968,(281) 650-3968,634
CITGO,(409) 926-4104,(409) 926-4104,635
CITY OF CLEMSON,864-653-2046,864-653-2046,636
CITY OF MARSHALL,,,637
CITY OF MINDEN,3183771212,3183771212,638
CIVITAS RESOURCES,(720) 440-6100,(720) 440-6100,639
Clean Combustion Inc,(281) 705-6958,(281) 705-6958,640
CLEAN HARBORS,,,641
CLECO POWER LLC,(318) 793-1133,(318) 793-1133,642
CLEVELAND VALVE & GAUGE,(216) 362-1702,(216) 362-1702,643
CMC STEEL NEW JERSEY,(732) 401-1157,(732) 401-1157,644
CMS ENGINEERED PRODUCTS LLC,(317) 292-2914,(317) 292-2914,645
COASTAL FLOW MEASUREMENT,(713) 430-8600,(713) 430-8600,646
COASTAL STRUCTURES,,,647
COKE MACHINE CO (DBA CMI VALVE),(713) 724-8277,(713) 724-8277,648
COLLINS PRODUCTS LLC,(503) 471-5264,(503) 471-5264,649
COLUMBUS RUBBER AND GASKET,(662) 328-7687,(662) 328-7687,650
"COM-PAC SYSTEMS, INC",4323324515,4323324515,651
CONSOLIDATED NUCLEAR SECURITY LLC,,,652
CONTINENTAL CARBON CO,(281) 647-3732,(281) 647-3732,653
"Control Integral Alfa, S.A. DE C.V.",(956) 843-8289,(956) 843-8289,654
CONTROL PLUS INC,(706) 860-6900,(706) 860-6900,655
"Control-Tech, Inc.",3096921029,3096921029,656
COUNTRYMARK REFINING & LOGISTICS,8128388144,8128388144,657
CRAIG INTERNATIONAL SUPPLIES,(281) 710-9180,(281) 710-9180,658
CROWN MIDSTREAM,5803612217,5803612217,659
CRT-CHEMICAL REFINING & TERMINAL SERVICES,(713) 589-1133,(713) 589-1133,660
CUSTOM HOSE & SUPPLY,(903) 389-7208,(903) 389-7208,661
CUSTOM VALVE REPAIR,(724) 652-9041,(724) 652-9041,662
DANCHEM,(434) 797-8120,(434) 797-8120,663
DESOTO GATHERING CO LLC,(405) 702-6991,(405) 702-6991,664
DISTRIBUTION NOW,(903) 693-2596,(903) 693-2596,665
DIVERSIFIED CONTROLS INC.,(770) 932-5844,(770) 932-5844,666
DIVERSIFIED GAS & OIL,,,667
DK/AMANS VALVE & SUPPLY,(562) 529-8400,(562) 529-8400,668
DNOW L.P.,,,669
DOMINION ENERGY,(803) 827-2544,(803) 827-2544,670
DOMTAR INDUSTRIES,(870) 898-2711,(870) 898-2711,671
DOUBLE B CUBED LLC,,,672
DR. REDDY,(318) 861-8392,(318) 861-8392,673
DRILLING SPECIALTIES DIV OF CHEVRON PHILIPS,(225) 717-4088,(225) 717-4088,674
DRIVETECH AUTOMATION,(954) 746-9800,(954) 746-9800,675
DUKE ENERGY PROGRESS,(812) 386-4383,(812) 386-4383,676
DUNCAN COMPANY,(612) 331-1776,(612) 331-1776,677
DXP ENTERPRISES 1908,(903) 531-6033,(903) 531-6033,678
EADS/EPSCO,(614) 253-1996,(614) 253-1996,679
EAST BAY MUD/EBMUD,(209) 772-8213,(209) 772-8213,680
EASTMAN GAS CO,(903) 806-4757,(903) 806-4757,681
ECO SERVICES OPERATIONS,(225) 359-3713,(225) 359-3713,682
EDGEN MURRAY CORP,(225) 756-9868,(225) 756-9868,683
ELEMENTIS GLOBAL LLC,(910) 675-7280,(910) 675-7280,684
ELITE SUPPLY PARTNERS INC,(817) 599-3889,(817) 599-3889,685
ENABLE MIDSTREAM PARTNERS,(318) 698-6424,(318) 698-6424,686
ENBRIDGE PIPELINE,903-860-2125,903-860-2125,687
ENERCORP,,,688
ENERFIN RESOURCES,(713) 888-8615,(713) 888-8615,689
ENERFLEX MIDDLE EAST LLC,97124979100,97124979100,690
ENERFLEX SERVICES INC,(281) 856-4300,(281) 856-4300,691
ENERGY  HYDRAULICS,(318) 629-0322,(318) 629-0322,692
Energy Control L.L.C.,9736860648,9736860648,693
ENERGY TRANSFER,(432) 308-2008,(432) 308-2008,694
ENERGY TRANSFER (DALLAS),(318) 239-1216,(318) 239-1216,695
ENERGY TRANSFER (JACK),(903) 541-2606,(903) 541-2606,696
"Energy Transfer Group, L.L.C.",(318) 371-1978,(318) 371-1978,697
ENERGY TRANSFER. minden,(318) 371-7829,(318) 371-7829,698
ENGINEERED POWER AND CONTROL,(601) 832-3002,(601) 832-3002,699
ENGINEWORXS SALES AND SERVICES,(575) 616-1775,(575) 616-1775,700
ENLINK TIGER GAS PLANT,(432) 248-6630,(432) 248-6630,701
ENTERPRISE,(903) 812-2630,(903) 812-2630,702
ENTERPRISE (BC),,,703
ENTERPRISE NAVITAS MIDSTREAM MIDLAND,(713) 381-8149,(713) 381-8149,704
ENVASCO,(713) 675-7525,(713) 675-7525,705
EPIC Y-GRADE LOGISTICS LP,(210) 728-3026,(210) 728-3026,706
EPS AFRICA FZE,,,707
ERVING INDUSTRIES dba ERVING PAPER MILL,(413) 422-2700,(413) 422-2700,708
ETC TEXAS PIPELINE,,,709
ETC TEXAS PROCESSING LTD,361-698-4152,361-698-4152,710
ETC TEXAS PROSESSING LTD,(409) 698-9606,(409) 698-9606,711
EUROCOMPONENTES Y SERVICIOS IND,,,712
EXELON NUCLEAR,(815) 416-3546,(815) 416-3546,713
EXTERRAN ENERGY SOLUTIONS L.P.,,,714
EXXON MOBIL,(805) 961-4108,(805) 961-4108,715
EXXON MOBIL UPSTREAM,(903) 769-7935,(903) 769-7935,716
F.W. WEBB,(207) 873-7741,(207) 873-7741,717
FARCOM INDUSTRIAL SA DE CV,,,718
FCX PERFORMANCE,6143246050,6143246050,719
FEAZEL ELECTRICAL,(318) 686-5100,(318) 686-5100,720
"FERGUSON ENTERPRISES, INC",(757) 874-7795,(757) 874-7795,721
"First Instrument Solutions, Ltd.",(361) 887-9001,(361) 887-9001,722
FLOTECH INC,(843) 554-5553,(843) 554-5553,723
FLOW CONTROL AND MEASUREMENT S.A.,,,724
FLOW CONTROL EQUIPMENT.,(337) 233-2881,(337) 233-2881,725
FLUID FLOW,(918) 663-5310,(918) 663-5310,726
FORMOSA PLASTICS CORP,,,388
FOX FOR INTERNATIONAL TRADING,,,727
FOX RIVER FIBER CO,(920) 676-1744,(920) 676-1744,728
FR INTEGRITY LLC DBA EVERLINE COMPLIANCE LLC,(936) 447-6100,(936) 447-6100,729
FTC COMBUSTION,,,730
FULTON SYSTEMS,7704471400,7704471400,731
G & G,(361) 576-5320,(361) 576-5320,732
GALLOUP,(616) 245-1195,(616) 245-1195,733
GAO JIA STOCK CO,886426819798,886426819798,734
"Gas Processors, Inc.",(601) 736-1600,(601) 736-1600,735
GAS TECHNOLOGY CORP,(972) 255-7800,(972) 255-7800,736
GATEWAY AUTOMATION INSTRUMENTATION,(903) 235-5770,(903) 235-5770,737
GEM-TRIM OF HOUMA,9858681586,9858681586,738
GENON,,,739
GEONIX LP,(903) 983-3249,(903) 983-3249,740
GEORGIA PACIFIC,(870) 353-5334,(870) 353-5334,741
GEORGIA PACIFIC (FL),(518) 561-3500,(518) 561-3500,742
"GEP HAYNESVILLE II, LLC",2813639161,2813639161,743
GESCO SUPPLY INC,(281) 436-7031,(281) 436-7031,744
GEXPRO,,,745
GLOBAL SUPPLY INC,(786) 660-1064,(786) 660-1064,746
GRAYTON CONTROL SERVICES,(978) 499-9175,(978) 499-9175,747
GREAT BASIN COLLEGE,(775) 738-8493,(775) 738-8493,748
GREAT WESTERN VALVE.,(713) 455-9400,(713) 455-9400,749
GREGORY SALES & SERVICE INC.,(361) 573-5988,(361) 573-5988,750
GT CORP,(305) 406-0003,(305) 406-0003,751
GULF COAST TMC (CLINTON),(318) 775-5679,(318) 775-5679,752
GULF SENSORS INC,(225) 273-3233,(225) 273-3233,753
GULF SOUTH PIPELINE (LAKE BIST),(318) 894-9629,(318) 894-9629,754
GYL LLC,(305) 607-9424,(305) 607-9424,755
HARVEST MIDSTREAM,(361) 543-0494,(361) 543-0494,756
"HATFIELD AND COMPANY, INC",(972) 285-0115,(972) 285-0115,757
HAYGOR INSTRUMENT.,(800) 851-1791,(800) 851-1791,758
HB FULLER/ROYAL ADHESIVES,(864) 228-1329,(864) 228-1329,759
HEALTHY PET,912-810-1023,912-810-1023,760
HEAT TRANSFER SOLUTIONS,(615) 274-2382,(615) 274-2382,761
HEXION,(888) 524-8800,(888) 524-8800,762
HIGHT DESERT VALVE & EQUIPMENT CO.,(505) 325-8258,(505) 325-8258,763
HILCORP ENERGY,(307) 313-7094,(307) 313-7094,764
"HILE CONTROLS, INC",(205) 620-4000,(205) 620-4000,765
Hollingsworth & Vose Company,(508) 668-0295,(508) 668-0295,766
HOUSTON PROCUREMENT INTERN'L,(281) 214-8104,(281) 214-8104,767
HUNTSMAN INTERNATIONAL,(713) 924-6404,(713) 924-6404,768
HUNTSMAN PERFORMANCE CHEMICAL,(877) 761-2967,(877) 761-2967,769
HYDRAULIC EXCHANGE,,,770
IMPAR ARGENTINA S.A.,,,771
INEOS ABS USA LLC,,,772
INEOS NITRILES USA LLC,(361) 552-8649,(361) 552-8649,773
INFINITY ELECTRIC,(903) 539-8090,(903) 539-8090,774
INGEVITY CORPORATION,337-462-4568,337-462-4568,775
INSTRUMENTATION.COM,(610) 446-6600,(610) 446-6600,776
INTEGRAL DYNAMICS INC,(405) 286-3425,(405) 286-3425,777
INTEGRITY CONTROLS INC,,,778
INTERMOUNTAIN POWER SERVICE CORP,(435) 864-6466,(435) 864-6466,779
INTERNATIONAL OIL AND GAS TRADING,(713) 341-9804,(713) 341-9804,780
INTERNATIONAL PAPER MANSFIELD,(318) 871-1481,(318) 871-1481,781
INTERNATIONAL TECHNICAL SERVICES (ITS),(787) 793-4290,(787) 793-4290,782
INTERNATIONAL VALVE,(860) 292-5341,(860) 292-5341,783
"Interstate Treating, Inc.",(432) 362-9291,(432) 362-9291,784
"INV NYLON CHEMICALS OF AMERICAS, LLC",,,785
Ironsmith Compression Inc,(432) 530-9295,(432) 530-9295,786
ISC CONSTRUCTORS LLC,(225) 218-7682,(225) 218-7682,787
ITUS GLOBAL,(800) 603-4070,(800) 603-4070,788
J. CROFT,(903) 388-6472,(903) 388-6472,789
J. GLOBAL ENERGY MIDSTREAM LLC,(903) 399-5048,(903) 399-5048,790
JAMES LAKE MIDSTREAM,(281) 720-3130,(281) 720-3130,791
"JDJ SALES, INC.",865-2393,865-2393,792
JGE MIDSTREAM,(903) 399-5048,(903) 399-5048,793
JOHN H. FEHLINGER CO,(212) 233-1383,(212) 233-1383,794
JP SERVICES,(832) 299-6779,(832) 299-6779,795
KAISER PUMP & VALVE INC,(903) 643-9232,(903) 643-9232,796
KAISER-FRANCIS OIL COMPANY,(918) 491-4661,(918) 491-4661,797
KEMIRA CHEMICAL,(678) 819-4555,(678) 819-4555,798
KINDER MORGAN NORSE PLANT,(701) 648-9030,(701) 648-9030,799
KINDERHAWK FIELD SERVICE,318-934-9211,318-934-9211,800
KITTRELL INDUSTRIAL & SUPPLY,(601) 909-2689,(601) 909-2689,801
"Komar Industries, Inc.",(614) 836-2366,(614) 836-2366,802
KONKI,(215) 253-5685,(215) 253-5685,803
L & L PROCESS SOLUTIONS,(251) 660-8255,(251) 660-8255,804
L&S SUPPLY,(501) 388-2540,(501) 388-2540,805
LANXESS,870-862-5141,870-862-5141,806
"Laredo Petroleum, Inc.",9185134570,9185134570,807
LCM INDUSTRIES INC,(432) 332-5516,(432) 332-5516,808
LESMAN INSTRUMENT CO,(630) 757-1760,(630) 757-1760,809
LIME INSTRUMENTS,(713) 781-1883,(713) 781-1883,810
Linde,,,811
LION OIL CO.,870-864-1475,870-864-1475,812
LM TOUCHDOWN LLC,,,813
"Lockwood Partners, LLC",(713) 679-5015,(713) 679-5015,814
LONGFALLS PAPER,8022570365,8022570365,815
LUBRIZOL CORP.,4409434200 ohio,4409434200 ohio,816
"LUCID ENERGY GROUP II, LLC",(214) 420-4950,(214) 420-4950,817
M & M SUPPLY,(405) 352-7879,(405) 352-7879,818
MADILL GAS PROCESS LLC,(580) 795-7396,(580) 795-7396,819
MAGELLAN MIDSTREAM PARTNERS,(918) 574-7000,(918) 574-7000,820
MARATHON PETROLEUM CO,(866) 876-2455,(866) 876-2455,821
"MARKWEST ENERGY EAST TEXAS GAS CO, LLC",(903) 694-2225,(903) 694-2225,822
"MARTIN UNDERGROUND STORAGE, INC",,,823
MARYLAND PAPER,3012236550,3012236550,824
MATHESON TRI-GAS,(281) 495-0773,(281) 495-0773,825
"MEASUREMENT, INSTURMENTATION & CO",(661) 401-0070,(661) 401-0070,826
MECHANICAL CONCEPTS LLC,(318) 453-2469,(318) 453-2469,827
MEC-TRIC CONTROL CO,(704) 376-8555,(704) 376-8555,828
MERCER VALVE CO,(405) 470-5219,(405) 470-5219,829
MESSER LLC,(803) 443-5054,(803) 443-5054,830
MID GEORGIA COGEN,(478) 987-9701,(478) 987-9701,831
MIDCOAST G& P (EAST TEXAS),(713) 627-4275,(713) 627-4275,832
MIDSTREAM VALVE PARTNERS,(713) 234-1270,(713) 234-1270,833
MIG ENERGY & ENG,,,834
"MISSION CREEK RESOURCES, LLC",(870) 235-0400,(870) 235-0400,835
MOAB ENERGY LLC,(903) 224-7612,(903) 224-7612,836
"Moody-Price, L.L.C.",(225) 767-7755,(225) 767-7755,837
MOTION INDUSTRIES,(877) 558-9287,(877) 558-9287,838
MRC GLOBAL.,(432) 276-7819,(432) 276-7819,839
"MSEC, INC",(303) 232-4100,(303) 232-4100,840
MW ENERGY WEST TEXAS GAS COMPANY,(361) 244-0109,(361) 244-0109,841
NA SOLID PETROSERVE LTD CANADA CALGARY - SUCURSALA ROMANIA,(866) 247-6543,(866) 247-6543,842
NAN YA PLASTICS CORP. AMERICA,(361) 987-7000,(361) 987-7000,843
NEW ULM PUBLIC UTILITIES COMMISSION,(507) 359-8259,(507) 359-8259,844
NEWPOINT GAS LLC,(979) 820-0556,(979) 820-0556,845
NORTH AMERICAN PROCESS CONTROLS,,,846
NORTHEAST SOLITE CORP,(845) 246-2933,(845) 246-2933,847
NORTHWEST LOUISIANA TECHNICAL COLLEGE,2686966,2686966,848
NOURYON FUNCTIONAL CHEMICALS,(281) 817-9139,(281) 817-9139,849
NOVVI,2814880959,2814880959,850
NPL CONSTRUCTION,(952) 469-2800,(952) 469-2800,851
NPS SPILL CONTROL LLC,(630) 293-6055,(630) 293-6055,852
NUTRIEN,(706) 993-0507,(706) 993-0507,853
NVENT,(763) 274-8958,(763) 274-8958,854
OAKWAY PARK SDN BHD (1095389-A),(036) 028-5870,(036) 028-5870,855
OCEAN AUTOMATION SOLUTIONS PTF,,,856
OKLAHOMA STEEL & WIRE,580-795-2559,580-795-2559,857
OM ELECTRICALS SALES,,,858
OMNI SALES INTERNATIONAL,(870) 863-5346,(870) 863-5346,859
ONEOK INC,(918) 246-4773,(918) 246-4773,860
OOG-TKP OIL SERVICES LTD,554733901500,554733901500,861
OPD,2813717500,2813717500,862
ORG CHEM GROUP,18127598335,18127598335,863
OTTER TAIL POWER (COYOTE),(701) 873-2571,(701) 873-2571,864
OTTER TAIL POWER CO,(218) 739-8130,(218) 739-8130,865
OWENS ILLINOIS,(336) 225-9534,(336) 225-9534,866
PACKAGING CORP OF AMERICA,(337) 462-4094,(337) 462-4094,867
PARIS GENERATION LP,(903) 785-2992,(903) 785-2992,868
PARKER HANNIFIN CORP,(308) 344-3207,(308) 344-3207,869
PCO,(281) 421-1321,(281) 421-1321,870
PELICAN INDUSTRIAL SALES CORP,63888587560,63888587560,871
PERFORMANCE DRIVES,,,872
PERGAN,(903) 638-5141,(903) 638-5141,873
PERMIAN VALVE REPAIR INC,(432) 381-1313,(432) 381-1313,874
PETRO PROCESSING,(940) 393-5729,(940) 393-5729,875
PHOENIX CEMENT CO,(480) 850-5757,(480) 850-5757,876
PILGRIMS PRIDE,,,877
PILOT CHEMICAL HOLDINGS INC,(513) 326-0600,(513) 326-0600,878
PNEUMATIC CONTROL INC,(661) 325-1200,(661) 325-1200,879
POLYMER PRODUCTS,(817) 265-6731,(817) 265-6731,880
PORTERSVILLE PRD LLC,(724) 368-8725,(724) 368-8725,881
POTLATCH/DELTIC TIMBER CORP,5093432804,5093432804,882
"Powerpac, LLC",(660) 619-6367,(660) 619-6367,883
PRAXAIR (NY),,,884
PRECISION SERVICES,(859) 371-9003,(859) 371-9003,885
PRECISION VALVE SERVICES LLC,,,886
"PROMAR INTERNATIONAL MFG, LLC",(909) 868-2930,(909) 868-2930,887
"Prometheus Energy Group, Inc.",(832) 456-6500,(832) 456-6500,888
PROTHERM CORP,(314) 894-6720,(314) 894-6720,889
PSPI - POTSDAM SPECIALTY PAPER INC,(315) 265-4000,(315) 265-4000,890
PT INTI BERKAT MANDIRI,,,891
PT SIGMA KREASI INSTRUMENTS,,,892
PUMP SYSTEMS INC,(336) 992-2929,(336) 992-2929,893
PVF INDUSTRIAL SUPPLY,(903) 255-7762,(903) 255-7762,894
PVS CHEMICAL,773-933-8800,773-933-8800,895
QUEST VALVE & CONTROLS,(281) 975-2429,(281) 975-2429,896
R LACY,(903) 758-8276,(903) 758-8276,897
R.F. MacDONALD CO,(510) 670-7406,(510) 670-7406,898
R360,(337) 824-3194,(337) 824-3194,899
R4 SPECIALTIES INC,(337) 652-5328,(337) 652-5328,900
RDG PROSOLUTIONS LLC,(815) 641-8836,(815) 641-8836,901
REAGAN POWER & COMRESSION,(337) 364-1263,(337) 364-1263,902
RECARBON INC,(408) 980-4700,(408) 980-4700,903
RECON PUMP,(978) 833-3352,(978) 833-3352,904
RED OAK TREATING LLC,(432) 682-2020,(432) 682-2020,905
REGENCY GAS (DUBACH),318-777-4002,318-777-4002,906
RES ENERGY SOLUTIONS,(678) 746-2400,(678) 746-2400,907
"Reset Energy, LP",4326822020,4326822020,908
RIGGINS COMPANY,(757) 826-0525,(757) 826-0525,909
RIVER VALLEY ANIMAL FOODS,,,910
ROCKCLIFF ENERGY MANAGEMENT,(713) 351-0500,(713) 351-0500,911
ROCKWELL AUTOMATION,(414) 382-2733,(414) 382-2733,912
S4M LTD,(217) 245-2919,(217) 245-2919,913
"Salt Creek Midstream, LLC",2816553200,2816553200,914
SCANCONTROLS ING. LTDA,,,915
SCFM COMPRESSION SYSTEMS,(918) 663-1309,(918) 663-1309,916
SCHIMBERG CO.,(319) 365-9421,(319) 365-9421,917
SCHWEITZER MAUDIT CO,(518) 329-5135,(518) 329-5135,918
SCOUT ENERGY MANAGEMENT,(972) 865-7571,(972) 865-7571,919
SCS ENERGY,(562) 426-9544,(562) 426-9544,920
SEMINOLE ELECTRIC COOP,(813) 963-0994,(813) 963-0994,921
SENECA LIGHT AND WATER,(864) 885-2735,(864) 885-2735,922
SERSINCA INC INDUSTRIAL SUPPLY,(305) 406-6700,(305) 406-6700,923
SERVICIOS GALECTRA S.A.,,,924
SETPOINT INTEGRATED SOLUTIONS.,(318) 343-3000,(318) 343-3000,925
S-G INDUSTRIAL & MACHINE CORP,7702977709,7702977709,926
SM CONTROL VALVES CO LTD,(662) 403-2501,(662) 403-2501,927
SMURFIT KAPPA,2145156417,2145156417,928
SNIDER INDUSTRIES,(903) 938-9221,(903) 938-9221,929
SOLVAY (WSP),(318) 519-3045,(318) 519-3045,930
Southcross Energy LLC,2149793700,2149793700,931
SOUTHERN WATER DISPOSAL,(318) 949-1501,(318) 949-1501,932
SPARTAN ENTERPRISES INC.,,,933
SPC HAUGHTON.,,,934
SPC VICTORIA,,,935
SPC-HOUSTON,,,936
SPECVALVE INC,,,937
SPINDLETOP ENERGY PRODUCTS,(409) 225-5863,(409) 225-5863,938
STARCHEM,(706) 618-0059,(706) 618-0059,939
STARCON,(409) 718-0458,(409) 718-0458,940
STARFISH PPS LLC,,,941
STASIS DRILLING SOLUTIONS,(281) 841-1711,(281) 841-1711,942
STASIS DRILLING SOLUTIONS (TX),(346) 326-5870,(346) 326-5870,943
STATELINE PROCESSING LLC,(210) 298-2222,(210) 298-2222,944
STEFFES METAL PRODUCTS,(701) 456-7467,(701) 456-7467,945
STRATEGIC ENERGY PRODUCTS LLC,(432) 254-4803,(432) 254-4803,946
SULPHUR RIVER EXPLORATION,(903) 734-7248,(903) 734-7248,947
SUMMIT VALVE SOLUTIONS,(801) 253-8878,(801) 253-8878,948
SUNY RF,(518) 956-7051,(518) 956-7051,949
SVI - SOUTHEASTERN VALVE INC,(704) 644-5165,(704) 644-5165,950
SWANSON FLO,(763) 383-4700,(763) 383-4700,951
SWENT FABRICATION & MACHINE LTD,(905) 776-2620,(905) 776-2620,952
SYST USA CORP,,,953
TAMINCO US LLC,(225) 642-3192,(225) 642-3192,954
TARGA RESOURCES,7135841500,7135841500,955
TECHNOLOGIES INTERNATIONAL,,,956
TECH-QUIP INC.,(281) 484-4830,(281) 484-4830,957
TENCARVA MACHINERY COMPANY,,,958
TEXAS EASTERN/SPECTRA ENERGY,(318) 396-1238,(318) 396-1238,959
TFE GROUP INC,8323976740,8323976740,960
THANH NGUYEN TECHNOLOGY EQUIPMENT,,,961
THE BLYTHE COMPANY (SC),7048431960,7048431960,962
THERMOGEN POWER SERVICES,,,963
THOMPSON EQUIPMENT COMPANY,(504) 833-6381,(504) 833-6381,964
THURMOND MCGLOTHLIN LLC,(806) 228-7108,(806) 228-7108,965
TOA INSTRUMENTACION INDUSTRIAL,(956) 843-8289,(956) 843-8289,966
TOOLPUSHERS SUPPLY CO,(307) 266-0484,(307) 266-0484,967
TOPS PIPELINE LLC,(281) 989-4787,(281) 989-4787,968
TOWN OF LOGANSPORT,(318) 272-2577,(318) 272-2577,969
TOWN OF OCEAN CITY,(410) 524-6762,(410) 524-6762,970
TRAC,(979) 357-2243,(979) 357-2243,971
TRECORA CHEMICAL,(281) 474-7500,(281) 474-7500,972
TREMCO CPG MANUFACTURING CORP,(430) 216-8913,(430) 216-8913,973
TRICOR REFINING,661-393-7110,661-393-7110,974
TRINOVA INC.,(251) 378-7837,(251) 378-7837,975
TRUE OIL,(406) 478-7080,(406) 478-7080,976
TYSON FARMS,(256) 970-6126,(256) 970-6126,977
UCOR URS,(865) 241-2418,(865) 241-2418,978
UGI DEVELOPMENT,(570) 542-2780,(570) 542-2780,979
UNISYS MIDDLE EAST & AFRICA,,,980
UNITED INDUSTRIAL RESOURCES,(713) 834-5764,(713) 834-5764,981
UNIVERSAL TRADING SERVICES,,,982
URBAN OIL AND GAS,(435) 636-2402,(435) 636-2402,983
US NITROGEN LLC,(423) 422-2040,(423) 422-2040,984
VALIN CORP,(480) 336-2602,(480) 336-2602,985
VALLEN DISTRIBUTION,(678) 746-1450,(678) 746-1450,986
VALVE & INSTRUMENT EXPRESS LLC,(908) 403-7048,(908) 403-7048,987
VALVE RECONDITIONING SERVICE,(313) 928-5980,(313) 928-5980,988
VAOS LTD.,,,989
